time,value,min,max
0,124.2258064516129,100.0,146.0
200,114.33333333333333,100.0,146.0
400,122.28125,100.0,147.0
600,121.08571428571429,100.0,145.0
800,119.10144927536231,100.0,146.0
1000,115.61538461538461,100.0,146.0
1200,112.96969696969697,100.0,147.0
1400,111.18840579710145,100.0,146.0
1600,110.44117647058823,100.0,145.0
1800,109.734375,100.0,142.0
2000,110.3768115942029,100.0,146.0
2200,108.25757575757575,100.0,130.0
2400,108.38235294117646,100.0,130.0
2600,107.81538461538462,100.0,142.0
2800,108.76811594202898,100.0,140.0
3000,107.57575757575758,100.0,120.0
3200,107.04545454545455,100.0,120.0
3400,107.8030303030303,100.0,130.0
3600,108.50746268656717,100.0,140.0
3800,108.01470588235294,100.0,130.0
4000,108.25757575757575,100.0,130.0
4200,108.48484848484848,100.0,130.0
