time,value
0,33.464999999999996
200,44.570000000000014
400,44.78999999999997
600,45.71499999999999
800,45.37499999999998
1000,42.12500000000008
1200,41.62000000000001
1400,40.994999999999976
1600,41.16000000000006
1800,40.49499999999994
2000,40.015
2200,40.94999999999999
2400,39.41499999999999
2600,40.699999999999946
2800,40.425000000000026
3000,38.920000000000016
3200,38.86500000000004
3400,38.26999999999996
3600,37.874999999999936
3800,38.40500000000004
4000,37.75999999999999
4200,37.31999999999999
4400,31.074999999999985
