time,value
115.0,1
126.0,2
130.0,3
135.0,4
139.0,5
141.0,6
145.0,7
148.0,8
154.0,9
157.0,10
157.0,11
158.0,12
163.0,13
165.0,14
172.0,15
173.0,16
176.0,17
180.0,18
181.0,19
184.0,20
188.0,21
192.0,22
195.0,23
196.0,24
199.0,25
199.0,26
201.0,27
203.0,28
205.0,29
211.0,30
214.0,31
218.0,32
220.0,33
223.0,34
223.0,35
228.0,36
232.0,37
236.0,38
242.0,39
249.0,40
250.0,41
253.0,42
254.0,43
255.0,44
259.0,45
262.0,46
268.0,47
271.0,48
275.0,49
276.0,50
281.0,51
281.0,52
283.0,53
285.0,54
292.0,55
292.0,56
299.0,57
307.0,58
307.0,59
308.0,60
309.0,61
311.0,62
311.0,63
315.0,64
316.0,65
319.0,66
320.0,67
324.0,68
330.0,69
332.0,70
334.0,71
335.0,72
336.0,73
339.0,74
341.0,75
346.0,76
346.0,77
347.0,78
355.0,79
357.0,80
358.0,81
363.0,82
367.0,83
370.0,84
373.0,85
376.0,86
382.0,87
385.0,88
388.0,89
389.0,90
389.0,91
390.0,92
394.0,93
397.0,94
403.0,95
415.0,96
416.0,97
417.0,98
417.0,99
418.0,100
420.0,101
421.0,102
421.0,103
422.0,104
439.0,105
442.0,106
443.0,107
448.0,108
449.0,109
450.0,110
452.0,111
454.0,112
456.0,113
458.0,114
469.0,115
470.0,116
471.0,117
473.0,118
478.0,119
479.0,120
486.0,121
489.0,122
490.0,123
491.0,124
493.0,125
497.0,126
498.0,127
500.0,128
502.0,129
504.0,130
508.0,131
516.0,132
517.0,133
523.0,134
531.0,135
532.0,136
537.0,137
541.0,138
541.0,139
543.0,140
545.0,141
546.0,142
552.0,143
554.0,144
555.0,145
558.0,146
565.0,147
569.0,148
574.0,149
576.0,150
577.0,151
578.0,152
581.0,153
585.0,154
585.0,155
589.0,156
590.0,157
592.0,158
593.0,159
594.0,160
604.0,161
611.0,162
615.0,163
616.0,164
619.0,165
622.0,166
623.0,167
628.0,168
630.0,169
632.0,170
643.0,171
643.0,172
646.0,173
651.0,174
652.0,175
658.0,176
659.0,177
659.0,178
661.0,179
667.0,180
669.0,181
670.0,182
675.0,183
677.0,184
681.0,185
682.0,186
683.0,187
694.0,188
695.0,189
697.0,190
698.0,191
700.0,192
701.0,193
702.0,194
702.0,195
703.0,196
704.0,197
704.0,198
708.0,199
710.0,200
712.0,201
720.0,202
724.0,203
731.0,204
733.0,205
734.0,206
736.0,207
740.0,208
743.0,209
745.0,210
746.0,211
751.0,212
759.0,213
762.0,214
763.0,215
772.0,216
772.0,217
781.0,218
784.0,219
785.0,220
789.0,221
790.0,222
790.0,223
793.0,224
794.0,225
795.0,226
801.0,227
803.0,228
809.0,229
812.0,230
813.0,231
820.0,232
821.0,233
821.0,234
822.0,235
826.0,236
827.0,237
830.0,238
833.0,239
840.0,240
844.0,241
847.0,242
852.0,243
854.0,244
859.0,245
859.0,246
863.0,247
868.0,248
872.0,249
876.0,250
880.0,251
880.0,252
883.0,253
886.0,254
886.0,255
890.0,256
892.0,257
902.0,258
904.0,259
908.0,260
913.0,261
918.0,262
919.0,263
922.0,264
922.0,265
923.0,266
927.0,267
928.0,268
929.0,269
929.0,270
931.0,271
935.0,272
939.0,273
946.0,274
946.0,275
949.0,276
950.0,277
960.0,278
961.0,279
961.0,280
963.0,281
965.0,282
970.0,283
971.0,284
975.0,285
982.0,286
983.0,287
984.0,288
990.0,289
994.0,290
995.0,291
997.0,292
1002.0,293
1003.0,294
1004.0,295
1006.0,296
1010.0,297
1012.0,298
1014.0,299
1016.0,300
1018.0,301
1021.0,302
1030.0,303
1037.0,304
1038.0,305
1040.0,306
1046.0,307
1048.0,308
1051.0,309
1053.0,310
1059.0,311
1060.0,312
1064.0,313
1064.0,314
1065.0,315
1067.0,316
1068.0,317
1069.0,318
1072.0,319
1080.0,320
1081.0,321
1081.0,322
1085.0,323
1086.0,324
1098.0,325
1101.0,326
1102.0,327
1103.0,328
1105.0,329
1110.0,330
1111.0,331
1112.0,332
1115.0,333
1117.0,334
1119.0,335
1133.0,336
1138.0,337
1139.0,338
1141.0,339
1146.0,340
1148.0,341
1149.0,342
1153.0,343
1153.0,344
1160.0,345
1161.0,346
1162.0,347
1165.0,348
1168.0,349
1172.0,350
1175.0,351
1176.0,352
1177.0,353
1177.0,354
1180.0,355
1192.0,356
1193.0,357
1195.0,358
1199.0,359
1200.0,360
1203.0,361
1208.0,362
1210.0,363
1214.0,364
1215.0,365
1216.0,366
1219.0,367
1221.0,368
1223.0,369
1227.0,370
1230.0,371
1236.0,372
1242.0,373
1243.0,374
1246.0,375
1248.0,376
1249.0,377
1253.0,378
1257.0,379
1264.0,380
1273.0,381
1273.0,382
1274.0,383
1276.0,384
1279.0,385
1280.0,386
1281.0,387
1285.0,388
1285.0,389
1288.0,390
1288.0,391
1289.0,392
1290.0,393
1294.0,394
1296.0,395
1300.0,396
1303.0,397
1307.0,398
1311.0,399
1312.0,400
1312.0,401
1314.0,402
1315.0,403
1317.0,404
1323.0,405
1327.0,406
1328.0,407
1329.0,408
1335.0,409
1338.0,410
1339.0,411
1360.0,412
1361.0,413
1365.0,414
1366.0,415
1371.0,416
1376.0,417
1381.0,418
1382.0,419
1385.0,420
1387.0,421
1388.0,422
1392.0,423
1397.0,424
1399.0,425
1399.0,426
1403.0,427
1404.0,428
1414.0,429
1415.0,430
1418.0,431
1419.0,432
1420.0,433
1427.0,434
1430.0,435
1431.0,436
1432.0,437
1438.0,438
1441.0,439
1443.0,440
1446.0,441
1447.0,442
1450.0,443
1450.0,444
1453.0,445
1457.0,446
1458.0,447
1462.0,448
1464.0,449
1470.0,450
1473.0,451
1474.0,452
1474.0,453
1477.0,454
1480.0,455
1481.0,456
1489.0,457
1492.0,458
1496.0,459
1497.0,460
1500.0,461
1501.0,462
1501.0,463
1505.0,464
1511.0,465
1513.0,466
1522.0,467
1522.0,468
1528.0,469
1530.0,470
1538.0,471
1543.0,472
1544.0,473
1549.0,474
1551.0,475
1553.0,476
1558.0,477
1559.0,478
1561.0,479
1565.0,480
1567.0,481
1570.0,482
1573.0,483
1574.0,484
1577.0,485
1581.0,486
1582.0,487
1585.0,488
1586.0,489
1592.0,490
1593.0,491
1597.0,492
1598.0,493
1599.0,494
1600.0,495
1604.0,496
1608.0,497
1609.0,498
1612.0,499
1620.0,500
1625.0,501
1627.0,502
1628.0,503
1635.0,504
1639.0,505
1646.0,506
1653.0,507
1654.0,508
1655.0,509
1657.0,510
1657.0,511
1658.0,512
1661.0,513
1669.0,514
1672.0,515
1678.0,516
1681.0,517
1682.0,518
1682.0,519
1686.0,520
1687.0,521
1688.0,522
1690.0,523
1693.0,524
1694.0,525
1696.0,526
1697.0,527
1701.0,528
1705.0,529
1707.0,530
1707.0,531
1709.0,532
1709.0,533
1711.0,534
1713.0,535
1716.0,536
1732.0,537
1736.0,538
1738.0,539
1739.0,540
1740.0,541
1747.0,542
1747.0,543
1754.0,544
1756.0,545
1756.0,546
1758.0,547
1763.0,548
1765.0,549
1765.0,550
1766.0,551
1767.0,552
1770.0,553
1771.0,554
1774.0,555
1781.0,556
1782.0,557
1784.0,558
1786.0,559
1794.0,560
1800.0,561
1809.0,562
1810.0,563
1813.0,564
1813.0,565
1815.0,566
1817.0,567
1818.0,568
1820.0,569
1821.0,570
1825.0,571
1827.0,572
1831.0,573
1835.0,574
1836.0,575
1840.0,576
1843.0,577
1844.0,578
1846.0,579
1847.0,580
1852.0,581
1854.0,582
1855.0,583
1858.0,584
1864.0,585
1873.0,586
1875.0,587
1878.0,588
1879.0,589
1881.0,590
1887.0,591
1889.0,592
1890.0,593
1894.0,594
1896.0,595
1898.0,596
1900.0,597
1902.0,598
1908.0,599
1909.0,600
1912.0,601
1918.0,602
1921.0,603
1922.0,604
1923.0,605
1926.0,606
1929.0,607
1932.0,608
1933.0,609
1941.0,610
1944.0,611
1950.0,612
1951.0,613
1954.0,614
1955.0,615
1962.0,616
1962.0,617
1963.0,618
1966.0,619
1968.0,620
1971.0,621
1977.0,622
1980.0,623
1981.0,624
1983.0,625
1985.0,626
1987.0,627
1990.0,628
1998.0,629
2001.0,630
2002.0,631
2004.0,632
2008.0,633
2009.0,634
2010.0,635
2016.0,636
2017.0,637
2024.0,638
2025.0,639
2031.0,640
2032.0,641
2040.0,642
2041.0,643
2047.0,644
2054.0,645
2056.0,646
2062.0,647
2063.0,648
2064.0,649
2067.0,650
2068.0,651
2069.0,652
2071.0,653
2078.0,654
2079.0,655
2082.0,656
2083.0,657
2083.0,658
2085.0,659
2085.0,660
2090.0,661
2091.0,662
2095.0,663
2097.0,664
2105.0,665
2106.0,666
2109.0,667
2110.0,668
2114.0,669
2118.0,670
2122.0,671
2125.0,672
2128.0,673
2128.0,674
2137.0,675
2139.0,676
2141.0,677
2145.0,678
2148.0,679
2149.0,680
2149.0,681
2152.0,682
2155.0,683
2163.0,684
2164.0,685
2166.0,686
2171.0,687
2172.0,688
2176.0,689
2176.0,690
2178.0,691
2179.0,692
2182.0,693
2191.0,694
2195.0,695
2199.0,696
2202.0,697
2203.0,698
2203.0,699
2205.0,700
2206.0,701
2214.0,702
2218.0,703
2219.0,704
2220.0,705
2226.0,706
2229.0,707
2230.0,708
2233.0,709
2241.0,710
2244.0,711
2245.0,712
2245.0,713
2247.0,714
2252.0,715
2253.0,716
2256.0,717
2257.0,718
2268.0,719
2271.0,720
2272.0,721
2272.0,722
2274.0,723
2280.0,724
2283.0,725
2284.0,726
2287.0,727
2295.0,728
2299.0,729
2299.0,730
2300.0,731
2307.0,732
2310.0,733
2311.0,734
2314.0,735
2314.0,736
2321.0,737
2322.0,738
2325.0,739
2326.0,740
2328.0,741
2334.0,742
2337.0,743
2338.0,744
2341.0,745
2349.0,746
2353.0,747
2353.0,748
2355.0,749
2357.0,750
2361.0,751
2364.0,752
2365.0,753
2367.0,754
2368.0,755
2376.0,756
2379.0,757
2380.0,758
2380.0,759
2382.0,760
2388.0,761
2391.0,762
2392.0,763
2395.0,764
2403.0,765
2407.0,766
2415.0,767
2418.0,768
2419.0,769
2419.0,770
2421.0,771
2422.0,772
2429.0,773
2430.0,774
2434.0,775
2435.0,776
2436.0,777
2442.0,778
2445.0,779
2446.0,780
2448.0,781
2449.0,782
2457.0,783
2461.0,784
2461.0,785
2463.0,786
2469.0,787
2472.0,788
2473.0,789
2475.0,790
2476.0,791
2484.0,792
2488.0,793
2488.0,794
2490.0,795
2496.0,796
2499.0,797
2500.0,798
2502.0,799
2503.0,800
2511.0,801
2515.0,802
2515.0,803
2517.0,804
2523.0,805
2526.0,806
2527.0,807
2529.0,808
2530.0,809
2538.0,810
2542.0,811
2542.0,812
2544.0,813
2550.0,814
2553.0,815
2554.0,816
2556.0,817
2557.0,818
2565.0,819
2569.0,820
2569.0,821
2571.0,822
2577.0,823
2580.0,824
2581.0,825
2584.0,826
2584.0,827
2592.0,828
2596.0,829
2598.0,830
2604.0,831
2607.0,832
2608.0,833
2608.0,834
2610.0,835
2611.0,836
2619.0,837
2623.0,838
2624.0,839
2625.0,840
2631.0,841
2634.0,842
2635.0,843
2637.0,844
2638.0,845
2646.0,846
2650.0,847
2650.0,848
2652.0,849
2658.0,850
2661.0,851
2662.0,852
2664.0,853
2665.0,854
2673.0,855
2677.0,856
2677.0,857
2679.0,858
2685.0,859
2688.0,860
2689.0,861
2691.0,862
2692.0,863
2700.0,864
2704.0,865
2704.0,866
2706.0,867
2712.0,868
2715.0,869
2716.0,870
2718.0,871
2719.0,872
2727.0,873
2731.0,874
2731.0,875
2733.0,876
2739.0,877
2742.0,878
2743.0,879
2745.0,880
2746.0,881
2754.0,882
2758.0,883
2758.0,884
2760.0,885
2766.0,886
2769.0,887
2770.0,888
2772.0,889
2773.0,890
2781.0,891
2785.0,892
2785.0,893
2787.0,894
2793.0,895
2796.0,896
2797.0,897
2799.0,898
2800.0,899
2808.0,900
2812.0,901
2812.0,902
2814.0,903
2820.0,904
2823.0,905
2824.0,906
2826.0,907
2827.0,908
2835.0,909
2839.0,910
2839.0,911
2841.0,912
2847.0,913
2850.0,914
2851.0,915
2853.0,916
2854.0,917
2862.0,918
2866.0,919
2866.0,920
2868.0,921
2874.0,922
2877.0,923
2878.0,924
2880.0,925
2881.0,926
2889.0,927
2893.0,928
2893.0,929
2895.0,930
2901.0,931
2904.0,932
2905.0,933
2907.0,934
2907.0,935
2908.0,936
2916.0,937
2920.0,938
2920.0,939
2928.0,940
2931.0,941
2932.0,942
2934.0,943
2935.0,944
2943.0,945
2947.0,946
2947.0,947
2949.0,948
2955.0,949
2958.0,950
2959.0,951
2961.0,952
2962.0,953
2970.0,954
2974.0,955
2974.0,956
2976.0,957
2982.0,958
2985.0,959
2986.0,960
2988.0,961
2988.0,962
2989.0,963
2997.0,964
3001.0,965
3001.0,966
3009.0,967
3012.0,968
3013.0,969
3015.0,970
3015.0,971
3016.0,972
3024.0,973
3028.0,974
3028.0,975
