time,value,min,max
0,126.46666666666667,100.0,146.0
200,122.4931506849315,100.0,146.0
400,125.98461538461538,100.0,147.0
600,123.39682539682539,100.0,146.0
800,124.18461538461538,100.0,146.0
1000,123.04166666666667,100.0,146.0
1200,120.71428571428571,100.0,147.0
1400,124.91044776119404,100.0,146.0
1600,117.18571428571428,100.0,146.0
1800,113.85074626865672,100.0,141.0
2000,110.63636363636364,100.0,142.0
2200,110.29411764705883,100.0,142.0
2400,109.44615384615385,100.0,142.0
2600,109.63235294117646,100.0,130.0
2800,108.30882352941177,100.0,130.0
3000,109.61538461538461,100.0,130.0
3200,108.95522388059702,100.0,130.0
3400,106.86567164179104,100.0,130.0
3600,106.49253731343283,100.0,120.0
3800,106.64179104477611,100.0,120.0
4000,106.71641791044776,100.0,120.0
4200,106.74242424242425,100.0,120.0
4400,106.53846153846153,100.0,120.0
4600,106.69117647058823,100.0,120.0
4800,106.64179104477611,100.0,120.0
5000,106.71641791044776,100.0,120.0
5200,106.64179104477611,100.0,120.0
5400,107.03125,100.0,130.0
5600,106.69117647058823,100.0,120.0
