time,value,min,max
0,119.796875,100.0,146.0
200,120.86363636363636,100.0,146.0
400,118.29411764705883,100.0,146.0
600,115.98412698412699,100.0,146.0
800,113.6056338028169,100.0,146.0
1000,113.43939393939394,100.0,146.0
1200,108.18181818181819,100.0,140.0
1400,107.04347826086956,100.0,146.0
1600,105.68181818181819,100.0,140.0
1800,105.55882352941177,100.0,142.0
2000,105.41538461538461,100.0,146.0
2200,106.11940298507463,100.0,140.0
2400,105.5223880597015,100.0,130.0
2600,105.82089552238806,100.0,120.0
2800,105.73529411764706,100.0,120.0
3000,106.484375,100.0,120.0
3200,106.76470588235294,100.0,130.0
3400,106.89393939393939,100.0,120.0
3600,106.89393939393939,100.0,120.0
3800,107.2463768115942,100.0,140.0
4000,106.92307692307692,100.0,130.0
4200,107.07352941176471,100.0,142.0
4400,106.6923076923077,100.0,120.0
4600,107.22727272727273,100.0,146.0
4800,106.73913043478261,100.0,120.0
5000,106.3076923076923,100.0,120.0
5200,106.81159420289855,100.0,120.0
5400,107.27692307692308,100.0,142.0
5600,107.84615384615384,100.0,145.0
