time,value
0,32.444999999999986
200,42.66
400,42.97500000000001
600,40.42000000000004
800,42.074999999999996
1000,40.14499999999999
1200,39.87999999999995
1400,38.55499999999999
1600,38.12999999999998
1800,37.64
2000,37.295
2200,37.370000000000005
2400,37.74500000000001
2600,37.47
2800,37.249999999999986
3000,36.9
3200,36.790000000000006
3400,36.62999999999999
3600,36.73
3800,36.72
4000,36.909999999999975
4200,36.90500000000002
4400,36.79
4600,36.919999999999995
4800,36.65499999999999
5000,36.78499999999998
5200,36.58000000000001
5400,36.79499999999999
5600,37.209999999999994
5800,36.67
