time,value
103.0,1
111.0,1
134.0,1
143.0,1
145.0,1
146.0,1
152.0,1
153.0,1
160.0,1
161.0,1
162.0,1
164.0,1
168.0,1
173.0,1
173.0,1
175.0,1
176.0,1
177.0,1
184.0,1
188.0,1
189.0,1
192.0,1
194.0,1
194.0,1
196.0,1
201.0,1
203.0,1
205.0,1
208.0,1
211.0,1
215.0,1
217.0,1
218.0,1
220.0,1
222.0,1
226.0,1
234.0,1
235.0,1
237.0,1
247.0,1
250.0,1
254.0,1
257.0,1
258.0,1
261.0,1
262.0,1
264.0,1
264.0,1
265.0,1
268.0,1
270.0,1
275.0,1
275.0,1
277.0,1
280.0,1
282.0,1
286.0,1
286.0,1
288.0,1
291.0,1
297.0,1
298.0,1
301.0,1
303.0,1
304.0,1
309.0,1
309.0,1
312.0,1
313.0,1
315.0,1
319.0,1
325.0,1
334.0,1
336.0,1
340.0,1
342.0,1
345.0,1
346.0,1
352.0,1
355.0,1
363.0,1
366.0,1
367.0,1
369.0,1
371.0,1
372.0,1
373.0,1
373.0,1
374.0,1
379.0,1
384.0,1
396.0,1
400.0,1
403.0,1
406.0,1
408.0,1
409.0,1
409.0,1
410.0,1
415.0,1
415.0,1
417.0,1
421.0,1
426.0,1
427.0,1
427.0,1
428.0,1
435.0,1
436.0,1
438.0,1
439.0,1
444.0,1
447.0,1
453.0,1
464.0,1
469.0,1
469.0,1
475.0,1
480.0,1
485.0,1
487.0,1
487.0,1
491.0,1
491.0,1
493.0,1
496.0,1
496.0,1
498.0,1
498.0,1
503.0,1
509.0,1
510.0,1
516.0,1
517.0,1
519.0,1
523.0,1
525.0,1
529.0,1
531.0,1
532.0,1
533.0,1
534.0,1
535.0,1
537.0,1
543.0,1
547.0,1
550.0,1
550.0,1
562.0,1
567.0,1
573.0,1
574.0,1
576.0,1
577.0,1
579.0,1
581.0,1
583.0,1
585.0,1
586.0,1
589.0,1
598.0,1
601.0,1
604.0,1
605.0,1
605.0,1
613.0,1
621.0,1
622.0,1
624.0,1
625.0,1
625.0,1
626.0,1
628.0,1
631.0,1
632.0,1
637.0,1
640.0,1
640.0,1
653.0,1
654.0,1
658.0,1
663.0,1
664.0,1
672.0,1
676.0,1
678.0,1
680.0,1
685.0,1
690.0,1
691.0,1
694.0,1
699.0,1
706.0,1
707.0,1
707.0,1
708.0,1
709.0,1
712.0,1
714.0,1
715.0,1
718.0,1
720.0,1
721.0,1
731.0,1
732.0,1
733.0,1
735.0,1
739.0,1
739.0,1
741.0,1
742.0,1
745.0,1
751.0,1
752.0,1
760.0,1
762.0,1
766.0,1
769.0,1
771.0,1
775.0,1
778.0,1
779.0,1
788.0,1
789.0,1
793.0,1
794.0,1
796.0,1
798.0,1
799.0,1
805.0,1
806.0,1
807.0,1
813.0,1
814.0,1
816.0,1
817.0,1
818.0,1
820.0,1
825.0,1
826.0,1
828.0,1
829.0,1
831.0,1
832.0,1
840.0,1
841.0,1
844.0,1
847.0,1
848.0,1
853.0,1
867.0,1
868.0,1
870.0,1
874.0,1
876.0,1
879.0,1
880.0,1
880.0,1
886.0,1
892.0,1
894.0,1
895.0,1
898.0,1
898.0,1
901.0,1
907.0,1
907.0,1
913.0,1
921.0,1
922.0,1
924.0,1
925.0,1
928.0,1
933.0,1
939.0,1
940.0,1
943.0,1
954.0,1
955.0,1
955.0,1
957.0,1
961.0,1
964.0,1
969.0,1
971.0,1
973.0,1
975.0,1
977.0,1
987.0,1
988.0,1
991.0,1
992.0,1
994.0,1
994.0,1
998.0,1
1002.0,1
1008.0,1
1009.0,1
1011.0,1
1014.0,1
1015.0,1
1017.0,1
1026.0,1
1027.0,1
1029.0,1
1030.0,1
1036.0,1
1038.0,1
1041.0,1
1042.0,1
1047.0,1
1048.0,1
1049.0,1
1053.0,1
1056.0,1
1059.0,1
1059.0,1
1063.0,1
1072.0,1
1075.0,1
1075.0,1
1077.0,1
1080.0,1
1086.0,1
1087.0,1
1090.0,1
