time,value,min,max
0,101.66666666666667,100.0,105.0
200,101.64179104477611,100.0,105.0
400,101.69117647058823,100.0,105.0
600,101.66666666666667,100.0,105.0
800,101.64179104477611,100.0,105.0
1000,101.71641791044776,100.0,105.0
1200,101.61538461538461,100.0,105.0
1400,101.69117647058823,100.0,105.0
1600,101.64179104477611,100.0,105.0
1800,101.66666666666667,100.0,105.0
2000,101.71641791044776,100.0,105.0
2200,101.64179104477611,100.0,105.0
2400,101.66666666666667,100.0,105.0
2600,101.64179104477611,100.0,105.0
2800,101.61538461538461,100.0,105.0
3000,105.83333333333333,100.0,120.0
3200,113.25,100.0,515.0
3400,117.42857142857143,100.0,705.0
3600,101.65,100.0,105.0
