time,value
100.0,1
103.0,2
111.0,3
112.0,4
114.0,5
115.0,6
118.0,7
124.0,8
126.0,9
127.0,10
130.0,11
138.0,12
139.0,13
141.0,14
142.0,15
145.0,16
151.0,17
153.0,18
154.0,19
157.0,20
165.0,21
166.0,22
168.0,23
169.0,24
172.0,25
178.0,26
180.0,27
181.0,28
184.0,29
192.0,30
193.0,31
195.0,32
196.0,33
199.0,34
205.0,35
207.0,36
208.0,37
211.0,38
219.0,39
220.0,40
222.0,41
223.0,42
226.0,43
232.0,44
234.0,45
235.0,46
238.0,47
246.0,48
247.0,49
249.0,50
250.0,51
253.0,52
259.0,53
261.0,54
262.0,55
265.0,56
273.0,57
274.0,58
276.0,59
277.0,60
280.0,61
286.0,62
288.0,63
289.0,64
292.0,65
300.0,66
301.0,67
303.0,68
304.0,69
307.0,70
313.0,71
315.0,72
316.0,73
319.0,74
327.0,75
328.0,76
330.0,77
331.0,78
334.0,79
340.0,80
342.0,81
343.0,82
346.0,83
354.0,84
355.0,85
357.0,86
358.0,87
361.0,88
367.0,89
369.0,90
370.0,91
373.0,92
381.0,93
382.0,94
384.0,95
385.0,96
388.0,97
394.0,98
396.0,99
397.0,100
400.0,101
408.0,102
409.0,103
411.0,104
412.0,105
415.0,106
421.0,107
423.0,108
424.0,109
427.0,110
435.0,111
436.0,112
438.0,113
439.0,114
442.0,115
448.0,116
450.0,117
451.0,118
454.0,119
462.0,120
463.0,121
465.0,122
466.0,123
469.0,124
475.0,125
477.0,126
478.0,127
481.0,128
489.0,129
490.0,130
492.0,131
493.0,132
496.0,133
502.0,134
504.0,135
505.0,136
508.0,137
516.0,138
517.0,139
519.0,140
520.0,141
523.0,142
529.0,143
531.0,144
532.0,145
535.0,146
543.0,147
544.0,148
546.0,149
547.0,150
550.0,151
556.0,152
558.0,153
559.0,154
562.0,155
570.0,156
571.0,157
573.0,158
574.0,159
577.0,160
583.0,161
585.0,162
586.0,163
589.0,164
597.0,165
598.0,166
600.0,167
601.0,168
604.0,169
610.0,170
612.0,171
613.0,172
616.0,173
624.0,174
625.0,175
627.0,176
628.0,177
631.0,178
637.0,179
639.0,180
640.0,181
643.0,182
651.0,183
652.0,184
654.0,185
655.0,186
658.0,187
664.0,188
666.0,189
667.0,190
670.0,191
678.0,192
679.0,193
681.0,194
682.0,195
685.0,196
691.0,197
693.0,198
694.0,199
697.0,200
705.0,201
706.0,202
708.0,203
709.0,204
712.0,205
718.0,206
720.0,207
721.0,208
724.0,209
732.0,210
733.0,211
