time,value
103.0,1
111.0,2
134.0,3
143.0,4
145.0,5
146.0,6
152.0,7
153.0,8
160.0,9
161.0,10
162.0,11
164.0,12
168.0,13
173.0,14
173.0,15
175.0,16
176.0,17
177.0,18
184.0,19
188.0,20
189.0,21
192.0,22
194.0,23
194.0,24
196.0,25
201.0,26
203.0,27
205.0,28
208.0,29
211.0,30
215.0,31
217.0,32
218.0,33
220.0,34
222.0,35
226.0,36
234.0,37
235.0,38
237.0,39
247.0,40
250.0,41
254.0,42
257.0,43
258.0,44
261.0,45
262.0,46
264.0,47
264.0,48
265.0,49
268.0,50
270.0,51
275.0,52
275.0,53
277.0,54
280.0,55
282.0,56
286.0,57
286.0,58
288.0,59
291.0,60
297.0,61
298.0,62
301.0,63
303.0,64
304.0,65
309.0,66
309.0,67
312.0,68
313.0,69
315.0,70
319.0,71
325.0,72
334.0,73
336.0,74
340.0,75
342.0,76
345.0,77
346.0,78
352.0,79
355.0,80
363.0,81
366.0,82
367.0,83
369.0,84
371.0,85
372.0,86
373.0,87
373.0,88
374.0,89
379.0,90
384.0,91
396.0,92
400.0,93
403.0,94
406.0,95
408.0,96
409.0,97
409.0,98
410.0,99
415.0,100
415.0,101
417.0,102
421.0,103
426.0,104
427.0,105
427.0,106
428.0,107
435.0,108
436.0,109
438.0,110
439.0,111
444.0,112
447.0,113
453.0,114
464.0,115
469.0,116
475.0,117
479.0,118
480.0,119
485.0,120
487.0,121
487.0,122
491.0,123
491.0,124
493.0,125
496.0,126
498.0,127
498.0,128
499.0,129
502.0,130
503.0,131
510.0,132
516.0,133
517.0,134
519.0,135
523.0,136
525.0,137
529.0,138
532.0,139
533.0,140
537.0,141
542.0,142
543.0,143
544.0,144
546.0,145
546.0,146
550.0,147
550.0,148
556.0,149
561.0,150
562.0,151
564.0,152
567.0,153
568.0,154
579.0,155
582.0,156
583.0,157
586.0,158
591.0,159
598.0,160
600.0,161
604.0,162
605.0,163
605.0,164
606.0,165
610.0,166
613.0,167
616.0,168
622.0,169
622.0,170
624.0,171
631.0,172
633.0,173
634.0,174
636.0,175
637.0,176
639.0,177
640.0,178
645.0,179
654.0,180
658.0,181
660.0,182
663.0,183
667.0,184
668.0,185
670.0,186
671.0,187
672.0,188
679.0,189
685.0,190
687.0,191
689.0,192
691.0,193
694.0,194
697.0,195
698.0,196
703.0,197
709.0,198
712.0,199
714.0,200
716.0,201
721.0,202
725.0,203
730.0,204
733.0,205
736.0,206
739.0,207
747.0,208
748.0,209
748.0,210
749.0,211
751.0,212
757.0,213
760.0,214
761.0,215
770.0,216
772.0,217
772.0,218
775.0,219
778.0,220
779.0,221
787.0,222
788.0,223
789.0,224
790.0,225
791.0,226
793.0,227
799.0,228
805.0,229
811.0,230
812.0,231
816.0,232
817.0,233
823.0,234
825.0,235
826.0,236
831.0,237
833.0,238
837.0,239
840.0,240
842.0,241
844.0,242
844.0,243
847.0,244
848.0,245
853.0,246
861.0,247
867.0,248
867.0,249
869.0,250
871.0,251
874.0,252
874.0,253
876.0,254
880.0,255
886.0,256
893.0,257
894.0,258
895.0,259
896.0,260
900.0,261
903.0,262
903.0,263
907.0,264
907.0,265
908.0,266
915.0,267
916.0,268
918.0,269
919.0,270
925.0,271
928.0,272
930.0,273
933.0,274
946.0,275
951.0,276
952.0,277
955.0,278
957.0,279
957.0,280
959.0,281
960.0,282
963.0,283
964.0,284
964.0,285
969.0,286
976.0,287
978.0,288
979.0,289
981.0,290
986.0,291
987.0,292
992.0,293
993.0,294
994.0,295
1000.0,296
1002.0,297
1003.0,298
1008.0,299
1014.0,300
1020.0,301
1021.0,302
1025.0,303
1026.0,304
1029.0,305
1030.0,306
1031.0,307
1032.0,308
1038.0,309
1038.0,310
1041.0,311
1045.0,312
1047.0,313
1053.0,314
1059.0,315
1060.0,316
1063.0,317
1066.0,318
1069.0,319
1072.0,320
1072.0,321
1074.0,322
1075.0,323
1080.0,324
1083.0,325
1084.0,326
1086.0,327
1087.0,328
1087.0,329
1099.0,330
1101.0,331
1107.0,332
1111.0,333
1113.0,334
1115.0,335
1116.0,336
1119.0,337
1122.0,338
1123.0,339
1125.0,340
1126.0,341
1128.0,342
1134.0,343
1146.0,344
1147.0,345
1150.0,346
1155.0,347
1159.0,348
1161.0,349
1164.0,350
1168.0,351
1168.0,352
1171.0,353
1177.0,354
1177.0,355
1180.0,356
1180.0,357
1188.0,358
1194.0,359
