time,value,min,max
0,126.46666666666667,100.0,146.0
200,122.4931506849315,100.0,146.0
400,125.98461538461538,100.0,147.0
600,123.39682539682539,100.0,146.0
800,124.26153846153846,100.0,146.0
1000,123.88732394366197,100.0,146.0
1200,120.66666666666667,100.0,145.0
1400,120.83076923076923,100.0,145.0
1600,121.85915492957747,100.0,147.0
1800,117.74242424242425,100.0,147.0
2000,115.0625,100.0,146.0
2200,113.97183098591549,100.0,146.0
2400,119.23076923076923,100.0,145.0
2600,114.38805970149254,100.0,145.0
2800,116.5223880597015,100.0,145.0
3000,116.74747474747475,100.0,146.0
3200,120.01020408163265,100.0,145.0
3400,119.39047619047619,100.0,505.0
3600,109.60606060606061,100.0,146.0
