time,value
103.0,1
111.0,2
112.0,3
114.0,4
120.0,5
123.0,6
130.0,7
138.0,8
140.0,9
147.0,10
150.0,11
151.0,12
151.0,13
157.0,14
159.0,15
164.0,16
165.0,17
166.0,18
167.0,19
168.0,20
174.0,21
177.0,22
178.0,23
184.0,24
192.0,25
193.0,26
194.0,27
201.0,28
205.0,29
205.0,30
211.0,31
214.0,32
219.0,33
221.0,34
222.0,35
223.0,36
223.0,37
238.0,38
241.0,39
245.0,40
249.0,41
249.0,42
250.0,43
254.0,44
255.0,45
258.0,46
262.0,47
264.0,48
265.0,49
267.0,50
271.0,51
272.0,52
274.0,53
279.0,54
281.0,55
282.0,56
285.0,57
291.0,58
292.0,59
298.0,60
299.0,61
301.0,62
306.0,63
308.0,64
308.0,65
309.0,66
312.0,67
318.0,68
319.0,69
327.0,70
328.0,71
335.0,72
335.0,73
335.0,74
336.0,75
339.0,76
345.0,77
346.0,78
352.0,79
354.0,80
355.0,81
355.0,82
362.0,83
363.0,84
366.0,85
369.0,86
372.0,87
373.0,88
381.0,89
382.0,90
382.0,91
389.0,92
390.0,93
393.0,94
396.0,95
397.0,96
399.0,97
400.0,98
408.0,99
409.0,100
416.0,101
417.0,102
420.0,103
423.0,104
426.0,105
427.0,106
435.0,107
436.0,108
436.0,109
443.0,110
444.0,111
447.0,112
450.0,113
453.0,114
454.0,115
462.0,116
463.0,117
463.0,118
470.0,119
478.0,120
480.0,121
489.0,122
492.0,123
496.0,124
496.0,125
507.0,126
510.0,127
511.0,128
513.0,129
515.0,130
515.0,131
516.0,132
520.0,133
523.0,134
524.0,135
532.0,136
534.0,137
537.0,138
539.0,139
540.0,140
542.0,141
543.0,142
551.0,143
556.0,144
559.0,145
561.0,146
562.0,147
564.0,148
566.0,149
570.0,150
573.0,151
577.0,152
579.0,153
586.0,154
588.0,155
589.0,156
591.0,157
592.0,158
595.0,159
596.0,160
600.0,161
604.0,162
605.0,163
613.0,164
615.0,165
616.0,166
619.0,167
627.0,168
628.0,169
628.0,170
631.0,171
632.0,172
640.0,173
642.0,174
643.0,175
645.0,176
646.0,177
650.0,178
654.0,179
658.0,180
659.0,181
660.0,182
667.0,183
669.0,184
670.0,185
672.0,186
673.0,187
676.0,188
681.0,189
682.0,190
687.0,191
690.0,192
694.0,193
696.0,194
697.0,195
699.0,196
706.0,197
708.0,198
708.0,199
709.0,200
713.0,201
714.0,202
717.0,203
721.0,204
724.0,205
730.0,206
733.0,207
735.0,208
735.0,209
736.0,210
741.0,211
744.0,212
748.0,213
751.0,214
757.0,215
760.0,216
762.0,217
762.0,218
763.0,219
768.0,220
771.0,221
778.0,222
784.0,223
787.0,224
789.0,225
789.0,226
790.0,227
795.0,228
795.0,229
798.0,230
799.0,231
805.0,232
811.0,233
813.0,234
814.0,235
816.0,236
816.0,237
817.0,238
822.0,239
825.0,240
826.0,241
832.0,242
840.0,243
841.0,244
842.0,245
843.0,246
843.0,247
849.0,248
849.0,249
852.0,250
853.0,251
859.0,252
867.0,253
868.0,254
870.0,255
870.0,256
876.0,257
876.0,258
879.0,259
880.0,260
886.0,261
894.0,262
895.0,263
897.0,264
897.0,265
903.0,266
903.0,267
906.0,268
907.0,269
913.0,270
921.0,271
922.0,272
924.0,273
924.0,274
930.0,275
930.0,276
933.0,277
934.0,278
940.0,279
948.0,280
949.0,281
951.0,282
957.0,283
957.0,284
960.0,285
961.0,286
966.0,287
967.0,288
975.0,289
976.0,290
978.0,291
984.0,292
984.0,293
987.0,294
993.0,295
994.0,296
1002.0,297
1003.0,298
1005.0,299
1011.0,300
1011.0,301
1014.0,302
1017.0,303
1018.0,304
1020.0,305
1021.0,306
1029.0,307
1030.0,308
1038.0,309
1038.0,310
1041.0,311
1044.0,312
1045.0,313
1047.0,314
1048.0,315
1056.0,316
1057.0,317
1065.0,318
1065.0,319
1068.0,320
1072.0,321
1074.0,322
1075.0,323
1083.0,324
1084.0,325
1084.0,326
1087.0,327
1092.0,328
1095.0,329
1098.0,330
1099.0,331
1101.0,332
1102.0,333
1110.0,334
1111.0,335
1111.0,336
1119.0,337
1122.0,338
1125.0,339
1126.0,340
1128.0,341
1129.0,342
1137.0,343
1138.0,344
1138.0,345
1146.0,346
1149.0,347
1152.0,348
1153.0,349
1154.0,350
1155.0,351
1156.0,352
1164.0,353
1165.0,354
1170.0,355
1173.0,356
1176.0,357
1179.0,358
1180.0,359
