time,value
100.0,1
103.0,2
115.0,3
118.0,4
127.0,5
130.0,6
142.0,7
145.0,8
146.0,9
149.0,10
153.0,11
157.0,12
162.0,13
164.0,14
172.0,15
173.0,16
176.0,17
179.0,18
184.0,19
188.0,20
191.0,21
194.0,22
200.0,23
203.0,24
206.0,25
207.0,26
214.0,27
215.0,28
216.0,29
218.0,30
221.0,31
228.0,32
230.0,33
231.0,34
233.0,35
235.0,36
242.0,37
242.0,38
243.0,39
244.0,40
244.0,41
246.0,42
248.0,43
249.0,44
255.0,45
255.0,46
257.0,47
258.0,48
260.0,49
267.0,50
270.0,51
273.0,52
274.0,53
274.0,54
276.0,55
277.0,56
282.0,57
285.0,58
291.0,59
292.0,60
297.0,61
300.0,62
301.0,63
303.0,64
304.0,65
309.0,66
309.0,67
312.0,68
315.0,69
318.0,70
324.0,71
327.0,72
328.0,73
331.0,74
336.0,75
336.0,76
339.0,77
342.0,78
354.0,79
355.0,80
355.0,81
358.0,82
363.0,83
366.0,84
369.0,85
371.0,86
373.0,87
381.0,88
382.0,89
382.0,90
385.0,91
388.0,92
390.0,93
390.0,94
393.0,95
396.0,96
399.0,97
405.0,98
408.0,99
409.0,100
412.0,101
417.0,102
417.0,103
426.0,104
433.0,105
435.0,106
436.0,107
439.0,108
444.0,109
444.0,110
450.0,111
452.0,112
457.0,113
459.0,114
461.0,115
462.0,116
463.0,117
463.0,118
466.0,119
471.0,120
471.0,121
474.0,122
475.0,123
480.0,124
486.0,125
489.0,126
490.0,127
493.0,128
497.0,129
498.0,130
498.0,131
501.0,132
502.0,133
504.0,134
507.0,135
513.0,136
517.0,137
523.0,138
525.0,139
525.0,140
529.0,141
531.0,142
531.0,143
532.0,144
534.0,145
540.0,146
543.0,147
544.0,148
552.0,149
556.0,150
561.0,151
565.0,152
567.0,153
568.0,154
570.0,155
571.0,156
579.0,157
583.0,158
585.0,159
586.0,160
588.0,161
592.0,162
598.0,163
604.0,164
605.0,165
606.0,166
610.0,167
612.0,168
612.0,169
613.0,170
615.0,171
619.0,172
621.0,173
625.0,174
633.0,175
637.0,176
639.0,177
639.0,178
640.0,179
642.0,180
646.0,181
648.0,182
652.0,183
660.0,184
666.0,185
666.0,186
667.0,187
669.0,188
673.0,189
675.0,190
678.0,191
679.0,192
684.0,193
687.0,194
690.0,195
693.0,196
694.0,197
696.0,198
702.0,199
705.0,200
706.0,201
714.0,202
717.0,203
718.0,204
720.0,205
721.0,206
723.0,207
729.0,208
732.0,209
733.0,210
736.0,211
