time,value,min,max
0,117.34426229508196,100.0,146.0
200,116.56716417910448,100.0,146.0
400,121.3970588235294,100.0,146.0
600,111.26760563380282,100.0,145.0
800,108.81538461538462,100.0,142.0
1000,108.23529411764706,100.0,142.0
1200,106.0,100.0,130.0
1400,106.02941176470588,100.0,120.0
1600,105.5223880597015,100.0,120.0
1800,105.15151515151516,100.0,130.0
2000,105.67164179104478,100.0,120.0
2200,104.6268656716418,100.0,120.0
2400,106.63636363636364,100.0,146.0
2600,106.34328358208955,100.0,130.0
2800,106.33823529411765,100.0,146.0
3000,108.44615384615385,100.0,146.0
3200,104.84848484848484,100.0,120.0
3400,105.82089552238806,100.0,130.0
3600,105.0,100.0,130.0
3800,105.07575757575758,100.0,130.0
4000,104.77611940298507,100.0,130.0
4200,105.22727272727273,100.0,130.0
4400,105.76923076923077,100.0,130.0
4600,105.80882352941177,100.0,130.0
4800,105.74626865671642,100.0,130.0
5000,104.40298507462687,100.0,120.0
5200,104.41176470588235,100.0,130.0
5400,105.703125,100.0,130.0
5600,105.29850746268657,100.0,130.0
