time,value,min,max
0,122.70967741935483,100.0,146.0
200,114.8,100.0,146.0
400,108.25,100.0,146.0
600,106.07692307692308,100.0,145.0
800,105.72463768115942,100.0,120.0
1000,105.07692307692308,100.0,120.0
1200,107.07575757575758,100.0,142.0
1400,106.3970588235294,100.0,120.0
1600,106.43939393939394,100.0,120.0
1800,107.13235294117646,100.0,140.0
2000,106.23076923076923,100.0,130.0
2200,106.25,100.0,120.0
2400,106.74242424242425,100.0,120.0
2600,106.66666666666667,100.0,130.0
2800,106.95652173913044,100.0,130.0
3000,107.03125,100.0,145.0
3200,107.3529411764706,100.0,145.0
3400,106.74242424242425,100.0,120.0
3600,106.51515151515152,100.0,120.0
3800,106.81159420289855,100.0,120.0
4000,107.23076923076923,100.0,145.0
4200,106.71641791044776,100.0,120.0
4400,106.74242424242425,100.0,120.0
4600,106.51515151515152,100.0,120.0
4800,107.10144927536231,100.0,120.0
5000,106.3076923076923,100.0,120.0
5200,106.81159420289855,100.0,120.0
5400,106.640625,100.0,120.0
5600,106.51515151515152,100.0,120.0
