time,value
0,100.0
3,100.0
15,100.0
18,100.0
27,100.0
30,100.0
42,100.0
45,100.0
6,140.0
9,140.0
12,141.0
57,100.0
21,141.0
24,140.0
72,100.0
33,140.0
36,140.0
39,140.0
84,100.0
48,140.0
51,140.0
54,140.0
60,140.0
63,140.0
66,140.0
87,120.0
69,145.0
75,140.0
111,105.0
78,140.0
81,140.0
123,105.0
90,140.0
126,105.0
93,140.0
105,130.0
102,140.0
96,146.0
138,105.0
114,130.0
99,145.0
141,105.0
108,140.0
129,120.0
135,120.0
150,105.0
117,140.0
153,105.0
120,140.0
147,120.0
165,105.0
168,105.0
144,130.0
174,100.0
156,120.0
132,145.0
177,105.0
180,105.0
171,120.0
162,130.0
192,105.0
195,105.0
201,100.0
183,120.0
159,145.0
189,120.0
204,105.0
207,105.0
210,105.0
198,120.0
219,105.0
222,105.0
228,100.0
186,145.0
216,120.0
231,105.0
234,105.0
237,105.0
249,105.0
255,100.0
225,130.0
213,145.0
258,105.0
261,105.0
264,105.0
246,125.0
243,130.0
276,105.0
252,130.0
282,100.0
240,145.0
273,115.0
270,120.0
285,105.0
288,105.0
291,105.0
279,120.0
300,105.0
303,105.0
309,100.0
267,145.0
312,105.0
297,120.0
306,120.0
318,115.0
330,105.0
336,100.0
294,145.0
324,120.0
339,105.0
345,105.0
327,125.0
342,115.0
354,105.0
315,146.0
357,105.0
363,100.0
333,130.0
321,145.0
351,120.0
366,105.0
369,105.0
375,100.0
360,120.0
381,105.0
384,105.0
390,100.0
348,145.0
372,125.0
393,105.0
378,120.0
396,105.0
402,100.0
399,105.0
387,120.0
408,105.0
417,100.0
423,100.0
405,120.0
420,105.0
429,100.0
411,120.0
426,105.0
432,100.0
414,120.0
435,105.0
438,105.0
444,100.0
447,105.0
456,100.0
441,120.0
450,115.0
462,105.0
453,115.0
465,105.0
471,100.0
474,105.0
483,100.0
480,105.0
486,100.0
468,120.0
477,115.0
498,100.0
489,115.0
459,146.0
501,105.0
510,100.0
492,120.0
507,105.0
513,100.0
495,120.0
504,115.0
516,105.0
525,100.0
528,105.0
537,100.0
519,120.0
534,105.0
540,100.0
522,120.0
531,115.0
543,105.0
552,100.0
555,105.0
546,120.0
561,105.0
567,100.0
549,120.0
558,115.0
570,105.0
573,105.0
579,100.0
564,120.0
582,105.0
585,105.0
588,105.0
594,100.0
576,120.0
597,105.0
600,105.0
606,100.0
609,105.0
612,105.0
618,100.0
615,105.0
621,100.0
603,120.0
624,105.0
627,105.0
633,100.0
591,145.0
636,105.0
639,105.0
645,100.0
642,105.0
648,100.0
630,120.0
651,105.0
654,105.0
660,100.0
663,105.0
666,105.0
672,100.0
669,105.0
675,100.0
657,120.0
678,105.0
681,105.0
687,100.0
690,105.0
693,105.0
699,100.0
696,105.0
702,100.0
684,120.0
705,100.0
714,100.0
717,105.0
720,105.0
726,100.0
708,120.0
723,105.0
729,100.0
711,120.0
732,105.0
741,100.0
744,105.0
747,105.0
753,100.0
750,105.0
756,100.0
738,120.0
759,105.0
735,130.0
762,105.0
768,100.0
771,105.0
774,105.0
780,100.0
777,105.0
783,100.0
765,120.0
786,105.0
795,100.0
798,105.0
801,105.0
807,100.0
789,120.0
804,105.0
810,100.0
792,120.0
813,105.0
816,105.0
822,100.0
825,105.0
828,105.0
834,100.0
831,105.0
837,100.0
819,120.0
840,105.0
843,105.0
849,100.0
852,105.0
855,105.0
861,100.0
858,105.0
864,100.0
846,120.0
867,105.0
876,100.0
879,105.0
882,105.0
888,100.0
870,120.0
885,105.0
891,100.0
873,120.0
894,105.0
897,105.0
903,100.0
906,105.0
909,105.0
915,100.0
912,105.0
918,100.0
900,120.0
921,105.0
924,105.0
930,100.0
933,105.0
936,105.0
942,100.0
939,105.0
945,100.0
927,120.0
948,105.0
957,100.0
960,105.0
963,105.0
969,100.0
951,120.0
966,105.0
972,100.0
954,120.0
975,105.0
978,105.0
984,100.0
987,105.0
990,105.0
996,100.0
993,105.0
999,100.0
981,120.0
1002,105.0
1011,100.0
1014,105.0
1017,105.0
1023,100.0
1005,120.0
1020,105.0
1026,100.0
1008,120.0
1029,105.0
1032,105.0
1038,100.0
1035,105.0
1041,105.0
1044,105.0
