time,value
0,32.92499999999997
200,42.28500000000002
400,38.97
600,37.454999999999984
800,36.81500000000002
1000,36.87500000000002
1200,36.72999999999999
1400,36.80000000000002
1600,36.80500000000001
1800,36.475
2000,36.845000000000006
2200,36.700000000000024
2400,36.56999999999999
2600,36.745
2800,36.58500000000001
3000,36.77499999999999
3200,37.04000000000001
3400,36.57999999999999
3600,36.73
3800,36.54500000000001
4000,36.879999999999995
4200,36.63000000000001
4400,36.589999999999996
4600,36.72
4800,36.595
5000,36.83500000000001
5200,36.53000000000001
5400,36.595
5600,36.705000000000005
5800,36.55
