time,value
35.0,1
47.0,2
58.0,3
59.0,4
62.0,5
70.0,6
73.0,7
74.0,8
81.0,9
84.0,10
85.0,11
86.0,12
89.0,13
96.0,14
97.0,15
100.0,16
101.0,17
108.0,18
111.0,19
112.0,20
113.0,21
116.0,22
123.0,23
124.0,24
127.0,25
128.0,26
135.0,27
138.0,28
139.0,29
140.0,30
143.0,31
150.0,32
151.0,33
154.0,34
155.0,35
162.0,36
165.0,37
166.0,38
167.0,39
170.0,40
178.0,41
181.0,42
182.0,43
187.0,44
189.0,45
194.0,46
197.0,47
202.0,48
203.0,49
205.0,50
208.0,51
209.0,52
214.0,53
216.0,54
219.0,55
220.0,56
221.0,57
224.0,58
232.0,59
235.0,60
236.0,61
241.0,62
243.0,63
248.0,64
251.0,65
256.0,66
257.0,67
259.0,68
262.0,69
263.0,70
270.0,71
275.0,72
278.0,73
279.0,74
283.0,75
284.0,76
286.0,77
290.0,78
299.0,79
302.0,80
305.0,81
306.0,82
308.0,83
310.0,84
312.0,85
313.0,86
316.0,87
317.0,88
329.0,89
332.0,90
333.0,91
335.0,92
338.0,93
340.0,94
344.0,95
347.0,96
353.0,97
354.0,98
356.0,99
359.0,100
360.0,101
362.0,102
366.0,103
367.0,104
371.0,105
380.0,106
382.0,107
383.0,108
386.0,109
387.0,110
389.0,111
392.0,112
394.0,113
398.0,114
407.0,115
410.0,116
413.0,117
414.0,118
416.0,119
420.0,120
421.0,121
425.0,122
428.0,123
434.0,124
437.0,125
440.0,126
440.0,127
443.0,128
446.0,129
448.0,130
452.0,131
455.0,132
459.0,133
461.0,134
464.0,135
467.0,136
467.0,137
473.0,138
475.0,139
479.0,140
482.0,141
486.0,142
488.0,143
491.0,144
494.0,145
494.0,146
500.0,147
502.0,148
506.0,149
509.0,150
513.0,151
515.0,152
518.0,153
521.0,154
521.0,155
527.0,156
529.0,157
533.0,158
536.0,159
540.0,160
542.0,161
545.0,162
548.0,163
548.0,164
554.0,165
556.0,166
560.0,167
563.0,168
567.0,169
569.0,170
572.0,171
575.0,172
576.0,173
581.0,174
583.0,175
587.0,176
590.0,177
596.0,178
599.0,179
602.0,180
603.0,181
605.0,182
609.0,183
610.0,184
614.0,185
617.0,186
623.0,187
626.0,188
629.0,189
630.0,190
632.0,191
635.0,192
635.0,193
637.0,194
641.0,195
650.0,196
653.0,197
656.0,198
657.0,199
659.0,200
661.0,201
663.0,202
664.0,203
668.0,204
673.0,205
677.0,206
680.0,207
684.0,208
686.0,209
689.0,210
689.0,211
691.0,212
