time,value
35.0,1
47.0,2
58.0,3
59.0,4
62.0,5
70.0,6
73.0,7
74.0,8
81.0,9
85.0,10
86.0,11
96.0,12
97.0,13
100.0,14
101.0,15
108.0,16
111.0,17
113.0,18
113.0,19
116.0,20
123.0,21
124.0,22
127.0,23
128.0,24
139.0,25
140.0,26
144.0,27
145.0,28
149.0,29
151.0,30
155.0,31
165.0,32
170.0,33
191.0,34
198.0,35
205.0,36
210.0,37
219.0,38
221.0,39
224.0,40
225.0,41
232.0,42
236.0,43
237.0,44
238.0,45
238.0,46
239.0,47
243.0,48
246.0,49
247.0,50
248.0,51
248.0,52
252.0,53
253.0,54
254.0,55
260.0,56
262.0,57
264.0,58
265.0,59
266.0,60
267.0,61
267.0,62
270.0,63
273.0,64
275.0,65
277.0,66
279.0,67
285.0,68
288.0,69
290.0,70
290.0,71
291.0,72
292.0,73
296.0,74
297.0,75
297.0,76
300.0,77
302.0,78
305.0,79
306.0,80
311.0,81
311.0,82
312.0,83
313.0,84
315.0,85
316.0,86
317.0,87
324.0,88
325.0,89
329.0,90
332.0,91
337.0,92
340.0,93
345.0,94
351.0,95
353.0,96
356.0,97
359.0,98
359.0,99
363.0,100
365.0,101
371.0,102
374.0,103
378.0,104
380.0,105
383.0,106
386.0,107
387.0,108
388.0,109
388.0,110
392.0,111
393.0,112
397.0,113
399.0,114
405.0,115
405.0,116
410.0,117
413.0,118
420.0,119
424.0,120
425.0,121
427.0,122
428.0,123
430.0,124
433.0,125
438.0,126
441.0,127
444.0,128
446.0,129
448.0,130
448.0,131
452.0,132
452.0,133
458.0,134
464.0,135
467.0,136
475.0,137
480.0,138
480.0,139
483.0,140
486.0,141
486.0,142
488.0,143
491.0,144
495.0,145
499.0,146
501.0,147
506.0,148
508.0,149
514.0,150
515.0,151
515.0,152
519.0,153
521.0,154
522.0,155
528.0,156
529.0,157
534.0,158
540.0,159
543.0,160
545.0,161
549.0,162
555.0,163
560.0,164
562.0,165
563.0,166
567.0,167
569.0,168
572.0,169
576.0,170
576.0,171
582.0,172
588.0,173
588.0,174
591.0,175
594.0,176
596.0,177
599.0,178
602.0,179
603.0,180
606.0,181
607.0,182
609.0,183
614.0,184
621.0,185
623.0,186
626.0,187
629.0,188
630.0,189
635.0,190
637.0,191
639.0,192
641.0,193
642.0,194
645.0,195
650.0,196
653.0,197
656.0,198
657.0,199
664.0,200
669.0,201
669.0,202
671.0,203
677.0,204
680.0,205
683.0,206
684.0,207
687.0,208
689.0,209
695.0,210
698.0,211
702.0,212
