time,value
0,35.0
12,35.0
3,55.0
24,35.0
27,35.0
15,55.0
18,55.0
39,35.0
6,75.0
9,75.0
30,55.0
51,35.0
54,35.0
21,75.0
42,55.0
45,55.0
66,35.0
33,75.0
36,75.0
57,55.0
78,35.0
81,35.0
48,75.0
69,55.0
72,55.0
93,35.0
60,75.0
63,75.0
84,55.0
105,35.0
108,35.0
75,75.0
96,55.0
99,55.0
120,35.0
87,75.0
90,75.0
111,55.0
132,35.0
135,35.0
123,55.0
126,55.0
147,35.0
102,85.0
114,75.0
159,35.0
162,35.0
117,85.0
138,65.0
150,55.0
153,55.0
174,35.0
129,85.0
141,75.0
144,75.0
165,55.0
186,35.0
189,35.0
177,55.0
180,55.0
201,35.0
156,85.0
168,75.0
213,35.0
216,35.0
171,85.0
192,65.0
204,55.0
207,55.0
228,35.0
195,75.0
240,35.0
183,95.0
243,36.0
198,85.0
219,65.0
231,55.0
255,35.0
234,65.0
267,35.0
270,35.0
210,96.0
222,86.0
225,85.0
246,66.0
258,55.0
261,55.0
282,35.0
294,35.0
237,95.0
297,36.0
249,86.0
273,65.0
285,55.0
309,35.0
252,95.0
288,65.0
279,75.0
321,35.0
324,35.0
264,96.0
276,86.0
300,66.0
312,55.0
336,35.0
315,65.0
306,76.0
348,35.0
291,95.0
351,36.0
303,86.0
327,65.0
339,55.0
363,35.0
342,65.0
375,35.0
378,35.0
318,96.0
330,86.0
354,66.0
366,55.0
390,35.0
333,95.0
369,65.0
402,35.0
405,35.0
345,95.0
357,86.0
381,65.0
393,55.0
417,35.0
360,95.0
384,75.0
396,65.0
429,35.0
432,35.0
372,95.0
408,65.0
420,55.0
444,35.0
387,95.0
411,75.0
423,65.0
456,35.0
459,35.0
399,95.0
435,65.0
447,55.0
471,35.0
414,95.0
438,75.0
450,65.0
483,35.0
486,35.0
426,95.0
462,65.0
474,55.0
498,35.0
441,95.0
465,75.0
477,65.0
510,35.0
513,35.0
453,95.0
489,65.0
501,55.0
525,35.0
468,95.0
492,75.0
504,65.0
537,35.0
480,95.0
540,36.0
516,65.0
528,55.0
552,35.0
495,95.0
531,65.0
564,35.0
567,35.0
507,96.0
519,86.0
543,66.0
555,55.0
579,35.0
522,95.0
558,65.0
591,35.0
534,95.0
594,36.0
546,86.0
549,86.0
570,65.0
582,55.0
606,35.0
585,65.0
618,35.0
621,35.0
561,96.0
573,86.0
576,85.0
597,66.0
609,55.0
633,35.0
588,85.0
612,65.0
645,35.0
648,36.0
600,86.0
603,86.0
624,65.0
636,55.0
660,35.0
615,86.0
639,65.0
672,35.0
675,35.0
627,86.0
651,66.0
663,55.0
687,35.0
