time,value
0,35.0
12,35.0
3,55.0
24,35.0
27,35.0
15,55.0
18,55.0
39,35.0
6,75.0
30,55.0
51,35.0
21,75.0
42,55.0
45,55.0
66,35.0
33,75.0
36,75.0
57,56.0
78,35.0
81,35.0
48,75.0
69,55.0
72,55.0
93,35.0
63,76.0
105,35.0
108,36.0
9,136.0
84,65.0
54,97.0
99,56.0
90,75.0
135,35.0
126,65.0
162,36.0
117,88.0
114,96.0
153,66.0
186,35.0
189,35.0
129,96.0
165,67.0
180,56.0
201,36.0
120,118.0
132,106.0
144,95.0
177,66.0
87,159.0
192,55.0
111,137.0
213,35.0
123,129.0
156,97.0
216,38.0
204,56.0
207,55.0
228,36.0
147,118.0
168,98.0
171,96.0
159,108.0
102,168.0
183,90.0
240,35.0
60,217.0
243,36.0
150,135.0
219,69.0
234,56.0
255,35.0
174,117.0
195,97.0
138,158.0
210,87.0
231,66.0
222,78.0
267,35.0
96,209.0
270,36.0
225,86.0
141,170.0
246,66.0
258,55.0
75,240.0
261,55.0
282,35.0
237,87.0
249,76.0
294,35.0
297,35.0
252,85.0
273,67.0
309,36.0
285,66.0
288,65.0
321,35.0
324,35.0
264,95.0
276,87.0
300,65.0
336,35.0
279,95.0
312,66.0
315,65.0
348,35.0
291,95.0
351,36.0
198,190.0
303,85.0
306,86.0
327,66.0
342,55.0
363,36.0
318,87.0
339,66.0
375,35.0
378,35.0
354,66.0
369,55.0
390,35.0
330,97.0
333,95.0
345,85.0
366,67.0
402,36.0
405,36.0
357,87.0
381,65.0
360,88.0
393,55.0
396,56.0
417,35.0
372,86.0
429,35.0
432,35.0
408,67.0
444,36.0
384,96.0
387,96.0
399,87.0
420,66.0
423,65.0
456,35.0
459,36.0
414,85.0
435,66.0
471,35.0
411,97.0
447,67.0
450,65.0
438,77.0
483,36.0
426,95.0
486,36.0
462,66.0
441,88.0
498,36.0
474,66.0
477,66.0
510,35.0
453,96.0
489,66.0
525,35.0
465,97.0
468,95.0
501,66.0
504,65.0
537,35.0
540,36.0
480,96.0
516,66.0
552,36.0
492,96.0
495,96.0
528,66.0
531,65.0
564,35.0
567,35.0
507,96.0
519,87.0
522,85.0
543,66.0
579,35.0
555,66.0
558,65.0
591,35.0
534,95.0
594,36.0
570,65.0
582,55.0
513,126.0
606,35.0
546,96.0
549,96.0
585,65.0
618,35.0
621,35.0
561,96.0
597,67.0
633,36.0
573,96.0
576,95.0
612,65.0
645,35.0
588,95.0
648,36.0
600,87.0
624,65.0
660,35.0
603,95.0
636,66.0
639,65.0
672,35.0
675,35.0
615,96.0
651,67.0
687,36.0
627,96.0
630,96.0
663,66.0
