time,value
35.0,1
47.0,1
59.0,1
62.0,1
69.0,1
84.0,1
89.0,1
92.0,1
101.0,1
109.0,1
112.0,1
123.0,1
145.0,1
146.0,1
152.0,1
154.0,1
156.0,1
160.0,1
166.0,1
180.0,1
185.0,1
196.0,1
202.0,1
209.0,1
211.0,1
214.0,1
216.0,1
218.0,1
224.0,1
224.0,1
231.0,1
236.0,1
237.0,1
239.0,1
247.0,1
248.0,1
257.0,1
258.0,1
259.0,1
263.0,1
264.0,1
272.0,1
274.0,1
275.0,1
275.0,1
278.0,1
281.0,1
281.0,1
284.0,1
284.0,1
291.0,1
292.0,1
297.0,1
298.0,1
303.0,1
305.0,1
307.0,1
309.0,1
312.0,1
317.0,1
318.0,1
320.0,1
328.0,1
329.0,1
331.0,1
333.0,1
339.0,1
341.0,1
344.0,1
346.0,1
349.0,1
353.0,1
353.0,1
356.0,1
356.0,1
357.0,1
357.0,1
360.0,1
360.0,1
364.0,1
368.0,1
368.0,1
371.0,1
372.0,1
372.0,1
373.0,1
377.0,1
378.0,1
378.0,1
378.0,1
381.0,1
382.0,1
383.0,1
386.0,1
388.0,1
389.0,1
392.0,1
392.0,1
393.0,1
394.0,1
394.0,1
395.0,1
397.0,1
398.0,1
401.0,1
404.0,1
407.0,1
409.0,1
409.0,1
410.0,1
410.0,1
414.0,1
416.0,1
418.0,1
424.0,1
425.0,1
426.0,1
429.0,1
430.0,1
430.0,1
432.0,1
432.0,1
434.0,1
435.0,1
437.0,1
440.0,1
447.0,1
452.0,1
454.0,1
457.0,1
459.0,1
461.0,1
463.0,1
464.0,1
467.0,1
470.0,1
475.0,1
479.0,1
483.0,1
484.0,1
488.0,1
490.0,1
491.0,1
495.0,1
496.0,1
501.0,1
507.0,1
512.0,1
513.0,1
515.0,1
517.0,1
518.0,1
518.0,1
521.0,1
530.0,1
532.0,1
533.0,1
535.0,1
538.0,1
544.0,1
546.0,1
549.0,1
552.0,1
557.0,1
561.0,1
567.0,1
567.0,1
570.0,1
