time,value,min,max
0,77.375,35.0,137.0
200,120.16304347826087,35.0,362.0
400,59.985074626865675,35.0,97.0
600,60.62686567164179,35.0,96.0
800,61.22727272727273,35.0,96.0
1000,64.33823529411765,35.0,97.0
1200,65.171875,35.0,97.0
1400,64.01515151515152,35.0,97.0
1600,65.51470588235294,35.0,97.0
1800,64.88059701492537,35.0,97.0
2000,65.92647058823529,35.0,97.0
2200,65.58461538461539,35.0,97.0
2400,65.16923076923077,35.0,97.0
2600,66.05882352941177,35.0,97.0
2800,65.14925373134328,35.0,97.0
3000,65.86764705882354,35.0,97.0
3200,65.61538461538461,35.0,97.0
3400,65.15384615384616,35.0,97.0
3600,66.04411764705883,35.0,97.0
3800,65.16417910447761,35.0,97.0
4000,66.07352941176471,35.0,97.0
4200,65.109375,35.0,97.0
