time,value
0,35.0
12,35.0
24,35.0
27,35.0
3,66.0
9,75.0
54,35.0
6,86.0
66,35.0
33,76.0
57,55.0
36,87.0
60,85.0
39,107.0
15,137.0
18,136.0
120,36.0
75,85.0
99,67.0
45,135.0
90,95.0
78,118.0
114,88.0
153,56.0
84,127.0
108,106.0
150,66.0
93,125.0
189,35.0
129,95.0
165,66.0
180,56.0
201,36.0
144,95.0
192,55.0
213,35.0
168,89.0
87,171.0
21,238.0
228,35.0
147,117.0
207,65.0
126,148.0
72,203.0
159,116.0
183,95.0
81,200.0
195,86.0
162,122.0
102,182.0
186,105.0
117,175.0
138,159.0
105,193.0
141,162.0
267,38.0
270,37.0
96,213.0
222,90.0
63,254.0
282,36.0
177,143.0
249,79.0
261,68.0
294,37.0
297,36.0
273,66.0
285,56.0
309,35.0
123,223.0
240,109.0
174,179.0
132,221.0
288,68.0
321,35.0
171,186.0
300,57.0
324,36.0
69,291.0
243,121.0
279,89.0
219,149.0
315,56.0
336,36.0
276,96.0
234,139.0
48,329.0
198,180.0
255,123.0
312,66.0
303,78.0
210,172.0
348,35.0
351,35.0
225,163.0
291,98.0
30,362.0
231,161.0
327,66.0
306,88.0
318,76.0
339,56.0
246,151.0
363,35.0
258,143.0
237,167.0
342,65.0
354,55.0
204,205.0
216,194.0
375,35.0
378,36.0
330,86.0
156,262.0
252,172.0
111,314.0
390,36.0
333,96.0
135,295.0
264,166.0
345,87.0
366,66.0
369,65.0
360,75.0
402,35.0
405,35.0
381,66.0
417,35.0
357,97.0
372,85.0
393,66.0
396,65.0
408,55.0
429,35.0
432,35.0
384,86.0
420,55.0
444,35.0
387,96.0
399,85.0
423,65.0
414,76.0
456,35.0
459,36.0
411,85.0
435,66.0
471,36.0
426,86.0
447,66.0
450,65.0
441,76.0
462,56.0
483,35.0
486,35.0
474,56.0
477,55.0
498,35.0
438,97.0
453,85.0
489,55.0
510,36.0
513,36.0
465,87.0
468,89.0
525,36.0
480,87.0
501,66.0
504,66.0
537,35.0
540,36.0
495,85.0
516,67.0
528,56.0
531,55.0
552,35.0
492,97.0
507,86.0
519,78.0
543,55.0
564,35.0
567,35.0
522,87.0
534,75.0
555,55.0
558,56.0
579,35.0
546,75.0
570,55.0
591,35.0
594,36.0
549,85.0
606,36.0
561,86.0
582,66.0
585,65.0
576,75.0
618,35.0
621,35.0
573,87.0
597,66.0
633,35.0
588,85.0
609,66.0
612,65.0
603,76.0
624,55.0
645,35.0
648,35.0
639,55.0
660,36.0
600,96.0
615,85.0
636,66.0
672,35.0
675,36.0
627,86.0
651,65.0
687,35.0
630,95.0
642,86.0
663,66.0
