time,value
12,35.0
24,35.0
15,55.0
18,55.0
6,86.0
21,85.0
3,126.0
27,129.0
120,39.0
54,121.0
147,36.0
9,178.0
123,71.0
126,70.0
45,153.0
162,37.0
0,206.0
81,126.0
36,172.0
117,92.0
174,37.0
48,164.0
114,98.0
150,68.0
153,67.0
144,77.0
33,188.0
186,37.0
189,35.0
39,185.0
108,117.0
129,103.0
165,68.0
141,92.0
60,175.0
63,174.0
180,58.0
201,37.0
84,158.0
105,137.0
51,195.0
177,71.0
156,93.0
132,118.0
213,38.0
171,81.0
216,37.0
99,155.0
96,159.0
192,66.0
168,90.0
135,125.0
75,185.0
111,152.0
228,36.0
207,58.0
30,235.0
42,225.0
90,180.0
204,68.0
87,188.0
198,78.0
240,36.0
243,35.0
66,214.0
183,98.0
159,122.0
78,206.0
219,66.0
195,90.0
102,187.0
255,35.0
234,57.0
69,223.0
57,237.0
231,66.0
93,206.0
225,77.0
267,35.0
138,165.0
270,35.0
222,86.0
210,100.0
246,66.0
261,55.0
282,36.0
258,66.0
249,76.0
252,75.0
294,35.0
297,35.0
237,97.0
273,65.0
288,55.0
309,35.0
285,66.0
276,76.0
321,35.0
264,95.0
324,36.0
279,86.0
300,65.0
312,55.0
315,55.0
336,35.0
348,35.0
351,35.0
291,96.0
303,86.0
306,85.0
327,67.0
342,55.0
363,36.0
339,66.0
375,35.0
378,35.0
318,95.0
333,85.0
354,65.0
369,55.0
390,35.0
330,97.0
366,66.0
402,35.0
345,95.0
405,36.0
357,85.0
360,86.0
381,65.0
393,55.0
396,55.0
417,35.0
429,35.0
432,35.0
372,96.0
387,85.0
408,67.0
423,55.0
444,36.0
384,96.0
420,66.0
456,35.0
399,95.0
459,36.0
414,85.0
435,65.0
450,55.0
471,35.0
411,97.0
447,66.0
483,35.0
486,35.0
426,96.0
441,87.0
462,67.0
477,56.0
498,36.0
438,96.0
474,66.0
510,35.0
453,95.0
513,36.0
468,85.0
489,65.0
504,55.0
525,35.0
465,97.0
501,66.0
537,35.0
540,35.0
480,96.0
495,87.0
516,67.0
531,56.0
552,36.0
492,96.0
528,66.0
564,35.0
507,95.0
567,36.0
522,85.0
543,65.0
558,55.0
579,35.0
519,97.0
555,66.0
591,35.0
594,35.0
534,96.0
570,67.0
606,36.0
546,96.0
549,96.0
582,66.0
585,65.0
618,35.0
561,95.0
621,36.0
597,65.0
633,35.0
573,97.0
576,95.0
609,66.0
612,65.0
645,35.0
648,35.0
588,96.0
624,67.0
660,36.0
600,96.0
603,96.0
636,66.0
639,65.0
672,35.0
615,95.0
675,36.0
651,65.0
687,35.0
627,97.0
630,95.0
663,66.0
666,65.0
699,35.0
702,35.0
642,96.0
678,67.0
714,36.0
654,96.0
657,96.0
690,66.0
693,65.0
726,35.0
669,95.0
729,36.0
705,65.0
741,35.0
681,97.0
684,95.0
717,66.0
720,65.0
753,35.0
756,35.0
696,96.0
732,67.0
768,36.0
708,96.0
711,96.0
744,66.0
747,65.0
780,35.0
723,95.0
783,36.0
759,65.0
774,55.0
795,35.0
735,97.0
738,95.0
771,66.0
807,35.0
810,35.0
750,96.0
786,67.0
822,36.0
762,96.0
765,96.0
798,66.0
801,65.0
834,35.0
777,95.0
837,36.0
813,65.0
849,35.0
789,97.0
792,95.0
825,66.0
828,65.0
861,35.0
864,35.0
804,96.0
840,67.0
876,36.0
816,96.0
819,96.0
852,66.0
855,65.0
888,35.0
831,95.0
891,36.0
867,65.0
903,35.0
843,97.0
846,95.0
879,66.0
882,65.0
915,35.0
918,35.0
858,96.0
894,67.0
930,36.0
870,96.0
873,96.0
906,66.0
909,65.0
942,35.0
945,35.0
885,95.0
897,87.0
921,65.0
957,35.0
900,95.0
933,67.0
936,65.0
969,36.0
972,35.0
912,95.0
924,86.0
927,87.0
948,66.0
984,36.0
960,66.0
963,66.0
996,35.0
999,35.0
939,95.0
951,86.0
954,85.0
975,65.0
1011,35.0
987,66.0
990,65.0
1023,35.0
1026,35.0
966,96.0
978,85.0
981,87.0
1002,66.0
1038,36.0
1014,67.0
1017,65.0
1050,36.0
1053,35.0
993,95.0
1005,87.0
1029,65.0
1008,87.0
1065,35.0
1041,67.0
1044,66.0
1077,36.0
1080,35.0
1020,95.0
1032,86.0
1035,87.0
1056,66.0
1092,36.0
1068,66.0
1071,66.0
1104,35.0
1107,35.0
1047,96.0
1059,86.0
1062,85.0
1083,65.0
1119,35.0
1095,66.0
1098,65.0
1131,35.0
1074,96.0
1086,85.0
1089,87.0
1110,66.0
1146,36.0
1122,66.0
1125,65.0
1158,35.0
1101,95.0
1161,36.0
1113,86.0
1137,65.0
1173,35.0
1116,95.0
1149,66.0
1152,65.0
1185,35.0
1188,35.0
1128,96.0
1164,67.0
1200,36.0
1140,96.0
1143,96.0
1176,66.0
1179,65.0
1212,35.0
1134,116.0
1155,95.0
1215,36.0
1191,65.0
1227,35.0
1167,97.0
1170,95.0
1203,66.0
1206,65.0
1239,35.0
1242,35.0
1182,96.0
1218,67.0
1254,36.0
1194,96.0
1197,96.0
1230,66.0
1233,65.0
1266,35.0
1209,95.0
1269,36.0
1245,65.0
1281,35.0
1221,97.0
1224,95.0
1257,66.0
1260,65.0
1293,35.0
1296,35.0
1236,96.0
1272,67.0
1308,36.0
1248,96.0
1251,96.0
1284,66.0
1287,65.0
1320,35.0
1263,95.0
1323,36.0
1299,65.0
1335,35.0
1275,97.0
1278,95.0
1311,66.0
1314,65.0
1347,35.0
1350,35.0
1290,96.0
1326,67.0
1362,36.0
1302,96.0
1305,96.0
1338,66.0
1341,65.0
1374,35.0
1317,95.0
1377,36.0
1353,65.0
1389,35.0
1329,97.0
1332,95.0
1365,66.0
1368,65.0
1401,35.0
1404,35.0
1344,96.0
1380,67.0
1416,36.0
1356,96.0
1359,96.0
1392,66.0
1395,65.0
1428,35.0
1371,95.0
1431,36.0
1407,65.0
1443,35.0
1383,97.0
1386,95.0
1419,66.0
1422,65.0
1455,35.0
1458,35.0
1398,96.0
1434,67.0
1410,96.0
1413,96.0
1446,66.0
1449,65.0
1482,35.0
1425,95.0
1485,36.0
1461,65.0
1497,35.0
1437,97.0
1440,95.0
1476,65.0
1509,35.0
1512,35.0
1452,96.0
1524,36.0
1464,96.0
1467,96.0
1500,66.0
1503,65.0
1479,95.0
1539,36.0
1515,65.0
1551,35.0
1494,95.0
1491,98.0
1527,67.0
1530,65.0
1470,127.0
1566,35.0
1506,96.0
1542,67.0
1578,36.0
1518,96.0
1521,97.0
1554,66.0
1557,67.0
1533,95.0
1593,36.0
1569,65.0
1605,35.0
1545,97.0
1548,95.0
1488,159.0
1581,66.0
1584,65.0
1617,35.0
1620,35.0
1560,97.0
1536,126.0
1596,67.0
1632,36.0
1572,96.0
1575,96.0
1608,66.0
1611,65.0
1644,35.0
1587,95.0
1647,36.0
1623,65.0
1563,128.0
1659,35.0
1599,97.0
1602,95.0
1635,66.0
1473,229.0
1638,65.0
1590,115.0
1671,35.0
1674,35.0
1614,96.0
1650,67.0
1686,36.0
1626,96.0
1629,96.0
1662,66.0
1665,65.0
1698,35.0
1701,35.0
1641,95.0
1677,65.0
1713,35.0
1653,97.0
1656,95.0
1689,66.0
1692,65.0
1725,35.0
1728,35.0
1668,95.0
1680,85.0
1704,66.0
1740,36.0
1683,96.0
1716,66.0
1719,65.0
1752,35.0
1755,35.0
1695,95.0
1707,86.0
1731,65.0
1767,35.0
1710,95.0
1743,66.0
1746,65.0
1779,35.0
1782,35.0
1722,95.0
1734,85.0
1758,66.0
1794,36.0
1737,96.0
1770,66.0
1773,65.0
1806,35.0
1749,95.0
1809,36.0
1761,86.0
1785,65.0
1821,35.0
1764,95.0
1797,66.0
1800,65.0
1833,35.0
1836,35.0
1776,96.0
1812,67.0
1848,36.0
1788,96.0
1791,96.0
1824,66.0
1827,65.0
1860,35.0
1863,35.0
1803,95.0
1815,87.0
1839,65.0
1875,35.0
1818,95.0
1851,66.0
1854,65.0
1887,35.0
1830,95.0
1890,36.0
1842,85.0
1866,66.0
1902,36.0
1845,96.0
1878,66.0
1881,65.0
1914,35.0
1917,35.0
1857,96.0
1893,66.0
1929,35.0
1869,97.0
1872,95.0
1905,66.0
1908,65.0
1941,35.0
1944,35.0
1884,95.0
1920,66.0
1956,36.0
1896,96.0
1899,96.0
1932,66.0
1935,65.0
1968,35.0
1971,35.0
1911,95.0
1923,86.0
1947,65.0
1983,35.0
1926,95.0
1959,66.0
1962,65.0
1995,35.0
1938,95.0
1998,36.0
1950,85.0
1974,66.0
2010,36.0
1953,96.0
1986,66.0
1989,65.0
2022,35.0
2025,35.0
1965,96.0
2001,66.0
2037,35.0
1977,97.0
1980,95.0
2013,66.0
2016,65.0
2049,35.0
1992,95.0
2052,36.0
2028,66.0
2064,36.0
2004,96.0
2007,96.0
2040,66.0
2043,65.0
2076,35.0
2079,35.0
2019,96.0
2055,66.0
2091,35.0
2031,97.0
2034,95.0
2067,66.0
2070,65.0
2103,35.0
2046,95.0
2106,36.0
2082,66.0
2118,36.0
2058,96.0
2061,96.0
2094,66.0
2097,65.0
2130,35.0
2133,35.0
2073,96.0
2109,66.0
2145,35.0
2085,97.0
2088,95.0
2121,66.0
2124,65.0
2157,35.0
2100,95.0
2160,36.0
2136,66.0
2172,36.0
2112,96.0
2115,96.0
2148,66.0
2151,65.0
2184,35.0
2187,35.0
2127,96.0
2163,66.0
2199,35.0
2139,97.0
2142,95.0
2175,66.0
2178,65.0
2211,35.0
2154,95.0
2214,36.0
2190,66.0
2226,36.0
2166,96.0
2169,96.0
2202,66.0
2205,65.0
2238,35.0
2241,35.0
2181,96.0
2217,66.0
2253,35.0
2193,97.0
2196,95.0
2229,67.0
2232,65.0
2265,36.0
2208,95.0
2268,36.0
2244,66.0
2223,88.0
2280,36.0
2220,96.0
2256,66.0
2259,66.0
2292,35.0
2295,35.0
2235,96.0
2271,66.0
2307,35.0
2247,97.0
2250,95.0
2283,66.0
2286,65.0
2319,35.0
2322,36.0
2262,96.0
2298,66.0
2334,36.0
2274,96.0
2277,96.0
2310,66.0
2313,65.0
2346,35.0
2349,35.0
2289,96.0
2325,66.0
2361,35.0
2301,97.0
2304,95.0
2337,66.0
2340,65.0
2373,35.0
2316,95.0
2376,36.0
2352,66.0
2388,36.0
2328,96.0
2364,66.0
2367,65.0
2400,35.0
2403,35.0
2343,96.0
2379,66.0
2415,35.0
2355,97.0
2358,95.0
2391,66.0
2394,65.0
2427,35.0
2370,95.0
2430,36.0
2406,66.0
2442,36.0
2382,96.0
2385,96.0
2418,66.0
2421,65.0
2454,35.0
2457,35.0
2397,96.0
2433,66.0
2469,35.0
2409,97.0
2412,95.0
2445,66.0
2448,65.0
2481,35.0
2331,188.0
2424,95.0
2484,36.0
2460,66.0
2496,36.0
2436,96.0
2439,96.0
2472,66.0
2475,65.0
2508,35.0
2511,35.0
2451,96.0
2487,66.0
2523,35.0
2463,97.0
2466,95.0
2499,66.0
2502,65.0
2535,35.0
2478,95.0
2538,36.0
2514,66.0
2550,36.0
2490,96.0
2493,96.0
2505,87.0
2526,66.0
2529,65.0
2562,35.0
2565,35.0
2541,66.0
2577,35.0
2517,97.0
2520,95.0
2553,66.0
2556,65.0
2589,35.0
2532,95.0
2592,36.0
2568,66.0
2604,36.0
2544,96.0
2547,96.0
2559,87.0
2580,66.0
2583,65.0
2616,35.0
2619,35.0
2595,66.0
2631,35.0
2571,97.0
2586,85.0
2607,66.0
2610,65.0
2643,35.0
2646,36.0
2622,66.0
2658,36.0
2598,96.0
2601,97.0
2613,87.0
2634,66.0
2637,65.0
2670,35.0
2673,36.0
2649,67.0
2685,35.0
2625,97.0
2628,95.0
2661,66.0
2664,65.0
2697,35.0
2640,95.0
2700,36.0
2676,67.0
2712,36.0
2652,97.0
2655,96.0
2688,66.0
2691,65.0
2724,35.0
2574,187.0
2727,35.0
2667,96.0
2703,66.0
2739,35.0
2679,97.0
2682,95.0
2715,66.0
2718,65.0
2751,35.0
2694,95.0
2754,36.0
2730,66.0
2766,36.0
2706,96.0
2709,96.0
2742,66.0
2745,65.0
2778,35.0
2721,96.0
2757,66.0
2793,35.0
2733,97.0
2769,66.0
2772,65.0
2805,35.0
2748,95.0
2808,36.0
2784,66.0
2820,36.0
2760,96.0
2763,96.0
2796,66.0
2799,65.0
2832,35.0
2835,35.0
2775,96.0
2811,66.0
2847,35.0
2787,97.0
2790,95.0
2823,66.0
2859,35.0
2802,95.0
2862,36.0
2838,66.0
2781,126.0
2874,36.0
2814,96.0
2817,96.0
2850,66.0
2853,65.0
2886,35.0
2736,186.0
2889,35.0
2829,96.0
2865,66.0
2901,35.0
2841,97.0
2844,95.0
2877,66.0
2880,65.0
2913,35.0
2856,95.0
2916,36.0
2892,66.0
2928,36.0
2868,96.0
2871,96.0
2904,66.0
2907,65.0
2940,35.0
2943,35.0
2883,96.0
2826,156.0
2919,66.0
2955,35.0
2895,97.0
2898,95.0
2931,66.0
2934,65.0
2967,35.0
2910,95.0
2970,36.0
2946,66.0
2982,36.0
2922,96.0
2925,96.0
2958,66.0
2961,65.0
2994,35.0
2997,35.0
2937,96.0
2973,66.0
3009,35.0
2949,97.0
