time,value
35.0,1
47.0,2
59.0,3
62.0,4
69.0,5
84.0,6
89.0,7
92.0,8
101.0,9
109.0,10
112.0,11
123.0,12
145.0,13
146.0,14
152.0,15
154.0,16
156.0,17
160.0,18
166.0,19
180.0,20
185.0,21
196.0,22
202.0,23
205.0,24
209.0,25
211.0,26
214.0,27
216.0,28
224.0,29
224.0,30
231.0,31
232.0,32
237.0,33
244.0,34
248.0,35
248.0,36
251.0,37
257.0,38
258.0,39
262.0,40
263.0,41
264.0,42
279.0,43
283.0,44
283.0,45
284.0,46
285.0,47
286.0,48
291.0,49
291.0,50
294.0,51
296.0,52
304.0,53
304.0,54
305.0,55
314.0,56
324.0,57
326.0,58
330.0,59
333.0,60
336.0,61
349.0,62
353.0,63
355.0,64
355.0,65
356.0,66
357.0,67
361.0,68
365.0,69
368.0,70
369.0,71
370.0,72
379.0,73
381.0,74
383.0,75
384.0,76
384.0,77
386.0,78
386.0,79
388.0,80
388.0,81
391.0,82
394.0,83
395.0,84
397.0,85
398.0,86
398.0,87
406.0,88
408.0,89
410.0,90
410.0,91
410.0,92
411.0,93
411.0,94
412.0,95
415.0,96
417.0,97
418.0,98
422.0,99
422.0,100
422.0,101
423.0,102
425.0,103
425.0,104
427.0,105
428.0,106
429.0,107
432.0,108
432.0,109
433.0,110
435.0,111
435.0,112
435.0,113
436.0,114
437.0,115
437.0,116
439.0,117
440.0,118
440.0,119
446.0,120
448.0,121
449.0,122
451.0,123
453.0,124
455.0,125
456.0,126
459.0,127
460.0,128
461.0,129
462.0,130
463.0,131
464.0,132
467.0,133
470.0,134
474.0,135
474.0,136
476.0,137
478.0,138
479.0,139
482.0,140
484.0,141
486.0,142
491.0,143
494.0,144
501.0,145
502.0,146
507.0,147
510.0,148
513.0,149
514.0,150
515.0,151
518.0,152
522.0,153
527.0,154
528.0,155
533.0,156
536.0,157
541.0,158
542.0,159
545.0,160
546.0,161
548.0,162
551.0,163
555.0,164
556.0,165
560.0,166
565.0,167
570.0,168
571.0,169
572.0,170
575.0,171
580.0,172
583.0,173
587.0,174
588.0,175
593.0,176
596.0,177
598.0,178
599.0,179
602.0,180
604.0,181
609.0,182
610.0,183
614.0,184
617.0,185
623.0,186
626.0,187
629.0,188
631.0,189
634.0,190
635.0,191
638.0,192
641.0,193
646.0,194
650.0,195
654.0,196
657.0,197
659.0,198
663.0,199
664.0,200
668.0,201
669.0,202
675.0,203
678.0,204
680.0,205
680.0,206
683.0,207
684.0,208
692.0,209
694.0,210
695.0,211
697.0,212
