time,value
35.0,1
47.0,1
59.0,1
62.0,1
69.0,1
84.0,1
89.0,1
92.0,1
101.0,1
109.0,1
112.0,1
123.0,1
145.0,1
146.0,1
152.0,1
154.0,1
156.0,1
160.0,1
166.0,1
180.0,1
185.0,1
196.0,1
202.0,1
205.0,1
209.0,1
211.0,1
214.0,1
216.0,1
224.0,1
224.0,1
231.0,1
232.0,1
237.0,1
244.0,1
248.0,1
248.0,1
251.0,1
257.0,1
258.0,1
262.0,1
263.0,1
264.0,1
279.0,1
283.0,1
283.0,1
284.0,1
285.0,1
286.0,1
291.0,1
291.0,1
294.0,1
296.0,1
304.0,1
304.0,1
305.0,1
314.0,1
324.0,1
326.0,1
330.0,1
333.0,1
336.0,1
349.0,1
353.0,1
355.0,1
355.0,1
356.0,1
357.0,1
361.0,1
365.0,1
368.0,1
369.0,1
370.0,1
379.0,1
381.0,1
383.0,1
384.0,1
384.0,1
386.0,1
386.0,1
388.0,1
388.0,1
391.0,1
394.0,1
395.0,1
397.0,1
398.0,1
398.0,1
406.0,1
408.0,1
410.0,1
410.0,1
410.0,1
411.0,1
411.0,1
412.0,1
415.0,1
417.0,1
418.0,1
422.0,1
422.0,1
422.0,1
423.0,1
425.0,1
425.0,1
427.0,1
428.0,1
429.0,1
432.0,1
432.0,1
433.0,1
435.0,1
435.0,1
435.0,1
436.0,1
437.0,1
437.0,1
439.0,1
440.0,1
440.0,1
446.0,1
448.0,1
449.0,1
451.0,1
453.0,1
455.0,1
456.0,1
459.0,1
460.0,1
461.0,1
462.0,1
463.0,1
464.0,1
467.0,1
470.0,1
474.0,1
474.0,1
476.0,1
478.0,1
479.0,1
482.0,1
484.0,1
486.0,1
491.0,1
494.0,1
501.0,1
502.0,1
507.0,1
510.0,1
513.0,1
514.0,1
515.0,1
518.0,1
522.0,1
527.0,1
528.0,1
533.0,1
536.0,1
541.0,1
542.0,1
545.0,1
546.0,1
548.0,1
551.0,1
555.0,1
556.0,1
560.0,1
565.0,1
570.0,1
