time,value
0,35.0
12,35.0
24,35.0
27,35.0
3,66.0
9,75.0
54,35.0
6,86.0
66,35.0
33,76.0
57,55.0
36,87.0
60,85.0
39,107.0
15,137.0
18,136.0
120,36.0
75,85.0
99,67.0
45,135.0
90,95.0
78,118.0
114,88.0
69,136.0
153,56.0
84,127.0
108,106.0
150,66.0
189,35.0
129,95.0
165,66.0
96,136.0
201,36.0
177,67.0
111,137.0
213,35.0
216,35.0
192,65.0
87,171.0
123,139.0
207,56.0
228,36.0
243,36.0
162,121.0
102,181.0
219,65.0
48,237.0
105,181.0
234,57.0
255,36.0
93,201.0
138,158.0
63,241.0
30,274.0
270,35.0
180,134.0
225,99.0
135,191.0
261,69.0
297,36.0
249,87.0
147,202.0
183,170.0
288,67.0
174,181.0
321,35.0
300,57.0
324,37.0
81,284.0
279,89.0
198,171.0
312,58.0
210,169.0
315,66.0
231,152.0
117,267.0
291,93.0
351,35.0
267,119.0
306,82.0
246,142.0
303,88.0
327,67.0
339,56.0
141,256.0
144,254.0
363,35.0
237,169.0
318,90.0
342,68.0
282,128.0
330,80.0
273,138.0
375,36.0
252,160.0
378,37.0
132,285.0
258,160.0
333,89.0
354,68.0
294,128.0
168,255.0
309,116.0
186,239.0
390,37.0
204,224.0
156,273.0
345,87.0
366,66.0
126,307.0
369,66.0
21,414.0
285,150.0
171,265.0
360,77.0
402,35.0
72,367.0
405,35.0
264,176.0
240,206.0
159,289.0
381,68.0
276,175.0
417,36.0
336,119.0
357,99.0
372,87.0
393,67.0
396,65.0
195,267.0
408,55.0
429,35.0
432,35.0
348,122.0
387,87.0
399,75.0
420,56.0
423,55.0
444,35.0
384,98.0
222,262.0
411,75.0
456,35.0
459,35.0
435,66.0
426,76.0
471,36.0
414,96.0
447,66.0
438,76.0
450,65.0
483,35.0
486,36.0
462,65.0
453,75.0
498,35.0
441,95.0
474,67.0
477,65.0
489,56.0
510,36.0
513,35.0
465,86.0
468,87.0
501,55.0
525,35.0
480,85.0
504,66.0
516,55.0
537,35.0
540,35.0
495,85.0
528,55.0
552,35.0
492,96.0
507,86.0
531,65.0
543,55.0
564,35.0
567,35.0
519,85.0
534,75.0
555,55.0
579,35.0
522,95.0
558,65.0
591,35.0
594,35.0
546,85.0
549,85.0
570,65.0
582,56.0
606,35.0
561,85.0
585,65.0
618,36.0
621,36.0
573,86.0
597,66.0
576,88.0
612,56.0
633,36.0
609,66.0
603,75.0
624,56.0
645,35.0
648,35.0
588,96.0
636,56.0
639,55.0
660,35.0
600,97.0
630,76.0
672,35.0
675,35.0
615,96.0
627,86.0
651,66.0
687,36.0
663,66.0
654,76.0
