time,value
0,35.0
12,35.0
3,55.0
24,35.0
42,68.0
21,95.0
39,128.0
135,37.0
90,86.0
111,67.0
36,149.0
9,180.0
126,67.0
45,149.0
159,35.0
117,79.0
162,36.0
81,129.0
72,139.0
33,182.0
105,111.0
129,90.0
153,67.0
27,194.0
186,36.0
144,79.0
69,154.0
189,35.0
84,144.0
108,121.0
165,66.0
60,173.0
177,58.0
201,35.0
15,221.0
141,100.0
63,180.0
54,190.0
156,89.0
180,67.0
96,152.0
99,150.0
75,174.0
213,36.0
216,35.0
18,234.0
51,201.0
30,223.0
87,168.0
147,110.0
192,66.0
204,57.0
207,56.0
228,35.0
168,96.0
6,261.0
171,98.0
66,203.0
57,213.0
123,147.0
183,89.0
240,35.0
93,183.0
78,200.0
243,36.0
138,142.0
174,110.0
114,170.0
219,67.0
102,185.0
234,56.0
195,96.0
255,37.0
198,95.0
48,245.0
231,66.0
210,88.0
150,150.0
267,35.0
270,35.0
225,85.0
120,190.0
246,66.0
282,35.0
222,98.0
237,87.0
258,67.0
294,35.0
297,37.0
249,86.0
273,66.0
288,55.0
309,36.0
252,97.0
285,66.0
321,35.0
324,35.0
300,67.0
336,35.0
276,97.0
279,95.0
291,85.0
312,67.0
315,65.0
348,36.0
351,36.0
261,128.0
303,88.0
327,66.0
306,89.0
363,36.0
318,87.0
339,66.0
342,66.0
375,35.0
378,36.0
333,85.0
354,67.0
369,55.0
390,35.0
330,97.0
132,298.0
366,66.0
402,35.0
405,36.0
345,96.0
381,66.0
417,36.0
357,97.0
360,96.0
393,66.0
396,65.0
429,35.0
432,35.0
372,96.0
408,66.0
444,35.0
384,97.0
387,95.0
420,66.0
423,65.0
456,35.0
459,35.0
399,95.0
435,66.0
471,36.0
411,96.0
414,96.0
447,66.0
450,65.0
483,35.0
486,35.0
426,95.0
438,86.0
462,65.0
498,35.0
441,95.0
474,66.0
477,65.0
510,35.0
513,35.0
453,95.0
465,85.0
489,66.0
525,36.0
468,96.0
501,67.0
504,65.0
516,55.0
537,36.0
480,95.0
540,36.0
492,87.0
495,88.0
552,35.0
528,66.0
531,66.0
564,35.0
567,35.0
507,96.0
543,67.0
579,36.0
519,96.0
522,96.0
555,66.0
558,65.0
591,35.0
594,35.0
534,96.0
546,87.0
549,85.0
570,65.0
606,35.0
561,85.0
582,66.0
585,65.0
618,35.0
621,36.0
573,85.0
597,66.0
633,36.0
576,96.0
588,86.0
609,67.0
612,65.0
624,56.0
645,36.0
648,35.0
603,87.0
636,56.0
660,35.0
600,97.0
639,66.0
672,35.0
675,35.0
615,95.0
627,86.0
651,65.0
663,55.0
687,35.0
630,96.0
