time,value
35.0,1
47.0,2
58.0,3
59.0,4
110.0,5
116.0,6
167.0,7
172.0,8
176.0,9
178.0,10
185.0,11
189.0,12
193.0,13
194.0,14
194.0,15
196.0,16
198.0,17
200.0,18
202.0,19
206.0,20
206.0,21
210.0,22
214.0,23
217.0,24
218.0,25
219.0,26
220.0,27
221.0,28
221.0,29
222.0,30
224.0,31
231.0,32
234.0,33
235.0,34
237.0,35
238.0,36
240.0,37
240.0,38
243.0,39
244.0,40
246.0,41
247.0,42
247.0,43
248.0,44
252.0,45
252.0,46
255.0,47
256.0,48
257.0,49
257.0,50
259.0,51
260.0,52
260.0,53
263.0,54
263.0,55
264.0,56
265.0,57
266.0,58
268.0,59
271.0,60
272.0,61
273.0,62
275.0,63
276.0,64
277.0,65
279.0,66
280.0,67
284.0,68
285.0,69
287.0,70
290.0,71
291.0,72
292.0,73
295.0,74
297.0,75
298.0,76
299.0,77
302.0,78
305.0,79
305.0,80
312.0,81
313.0,82
317.0,83
318.0,84
321.0,85
322.0,86
323.0,87
326.0,88
329.0,89
333.0,90
339.0,91
341.0,92
345.0,93
345.0,94
347.0,95
351.0,96
353.0,97
356.0,98
359.0,99
360.0,100
363.0,101
364.0,102
366.0,103
371.0,104
379.0,105
380.0,106
384.0,107
386.0,108
387.0,109
389.0,110
392.0,111
394.0,112
394.0,113
398.0,114
408.0,115
410.0,116
413.0,117
414.0,118
419.0,119
421.0,120
426.0,121
426.0,122
432.0,123
432.0,124
434.0,125
437.0,126
441.0,127
445.0,128
447.0,129
452.0,130
454.0,131
457.0,132
460.0,133
461.0,134
463.0,135
465.0,136
468.0,137
471.0,138
475.0,139
475.0,140
480.0,141
486.0,142
489.0,143
491.0,144
491.0,145
494.0,146
502.0,147
505.0,148
506.0,149
508.0,150
509.0,151
513.0,152
517.0,153
518.0,154
522.0,155
527.0,156
532.0,157
534.0,158
534.0,159
539.0,160
540.0,161
545.0,162
545.0,163
548.0,164
553.0,165
555.0,166
560.0,167
562.0,168
567.0,169
569.0,170
571.0,171
572.0,172
576.0,173
583.0,174
586.0,175
588.0,176
588.0,177
591.0,178
594.0,179
599.0,180
602.0,181
607.0,182
609.0,183
613.0,184
614.0,185
616.0,186
619.0,187
621.0,188
626.0,189
630.0,190
636.0,191
642.0,192
642.0,193
645.0,194
648.0,195
648.0,196
650.0,197
653.0,198
653.0,199
656.0,200
668.0,201
671.0,202
673.0,203
675.0,204
677.0,205
679.0,206
680.0,207
684.0,208
691.0,209
696.0,210
696.0,211
699.0,212
