time,value
35.0,1
47.0,1
58.0,1
59.0,1
110.0,1
116.0,1
167.0,1
172.0,1
176.0,1
178.0,1
185.0,1
189.0,1
193.0,1
194.0,1
194.0,1
196.0,1
198.0,1
200.0,1
202.0,1
206.0,1
206.0,1
210.0,1
214.0,1
217.0,1
218.0,1
219.0,1
220.0,1
221.0,1
221.0,1
222.0,1
224.0,1
231.0,1
234.0,1
235.0,1
237.0,1
238.0,1
240.0,1
240.0,1
243.0,1
244.0,1
246.0,1
247.0,1
247.0,1
248.0,1
252.0,1
252.0,1
255.0,1
256.0,1
257.0,1
257.0,1
259.0,1
260.0,1
260.0,1
263.0,1
263.0,1
264.0,1
265.0,1
266.0,1
268.0,1
271.0,1
272.0,1
273.0,1
275.0,1
276.0,1
277.0,1
279.0,1
280.0,1
284.0,1
285.0,1
287.0,1
290.0,1
291.0,1
292.0,1
295.0,1
297.0,1
298.0,1
299.0,1
302.0,1
305.0,1
305.0,1
312.0,1
313.0,1
317.0,1
318.0,1
321.0,1
322.0,1
323.0,1
326.0,1
329.0,1
333.0,1
339.0,1
341.0,1
345.0,1
345.0,1
347.0,1
351.0,1
353.0,1
356.0,1
359.0,1
360.0,1
363.0,1
364.0,1
366.0,1
371.0,1
379.0,1
380.0,1
384.0,1
386.0,1
387.0,1
389.0,1
392.0,1
394.0,1
394.0,1
398.0,1
408.0,1
410.0,1
413.0,1
414.0,1
419.0,1
421.0,1
426.0,1
426.0,1
432.0,1
432.0,1
434.0,1
437.0,1
441.0,1
445.0,1
447.0,1
452.0,1
454.0,1
457.0,1
460.0,1
461.0,1
463.0,1
465.0,1
468.0,1
471.0,1
475.0,1
475.0,1
480.0,1
486.0,1
489.0,1
491.0,1
491.0,1
494.0,1
502.0,1
505.0,1
506.0,1
508.0,1
509.0,1
513.0,1
517.0,1
518.0,1
522.0,1
527.0,1
532.0,1
534.0,1
534.0,1
539.0,1
540.0,1
545.0,1
545.0,1
548.0,1
553.0,1
555.0,1
560.0,1
562.0,1
