time,value
0.0,0.0
0.0,0.0
3.0,6.0
6.0,9.0
9.0,12.0
10.0,4.0
12.0,10.0
13.0,5.0
15.0,12.0
16.0,6.0
18.0,14.0
19.0,7.0
20.0,7.0
21.0,8.0
22.0,8.0
23.0,8.0
24.0,9.0
25.0,9.0
26.0,9.0
27.0,10.0
28.0,10.0
29.0,10.0
30.0,11.0
31.0,11.0
32.0,11.0
33.0,12.0
34.0,12.0
35.0,12.0
36.0,12.0
37.0,16.0
38.0,16.0
39.0,17.0
40.0,21.0
41.0,21.0
42.0,22.0
43.0,22.0
44.0,22.0
45.0,23.0
46.0,23.0
47.0,19.0
48.0,19.0
49.0,19.0
50.0,15.0
51.0,16.0
52.0,20.0
53.0,20.0
54.0,21.0
55.0,21.0
55.0,0.0
56.0,21.0
56.0,0.14660486307548126
57.0,22.0
58.0,22.0
59.0,22.0
60.0,26.0
61.0,30.0
62.0,26.0
63.0,26.0
64.0,30.0
65.0,30.0
66.0,31.0
67.0,31.0
68.0,35.0
69.0,36.0
70.0,31.0
71.0,31.0
72.0,32.0
73.0,32.0
74.0,28.0
75.0,29.0
76.0,29.0
77.0,29.0
77.0,0.0
78.0,30.0
78.0,0.04964012694894596
79.0,34.0
80.0,34.0
81.0,39.0
82.0,39.0
83.0,39.0
84.0,44.0
85.0,43.0
86.0,43.0
87.0,44.0
88.0,48.0
89.0,40.0
90.0,40.0
91.0,40.0
92.0,36.0
93.0,36.0
93.0,0.0
94.0,36.0
94.0,0.024819753959945956
95.0,32.0
96.0,33.0
97.0,33.0
98.0,29.0
99.0,34.0
100.0,38.0
101.0,38.0
102.0,42.0
103.0,46.0
104.0,46.0
105.0,47.0
106.0,51.0
107.0,55.0
108.0,56.0
109.0,52.0
110.0,47.0
111.0,44.0
112.0,44.0
113.0,39.0
114.0,40.0
115.0,44.0
116.0,40.0
116.0,0.0
117.0,41.0
117.0,0.07446111896862412
118.0,41.0
118.0,0.0
119.0,41.0
119.0,0.1954734602824309
120.0,42.0
121.0,50.0
122.0,54.0
123.0,55.0
124.0,54.0
125.0,58.0
126.0,59.0
127.0,63.0
128.0,63.0
129.0,64.0
130.0,64.0
131.0,56.0
132.0,53.0
133.0,49.0
134.0,49.0
134.0,0.0
135.0,50.0
135.0,0.024819753959945956
136.0,50.0
137.0,46.0
138.0,43.0
139.0,47.0
140.0,47.0
141.0,52.0
142.0,52.0
142.0,0.0
