time,value
35.0,1
47.0,2
58.0,3
59.0,4
62.0,5
70.0,6
73.0,7
74.0,8
81.0,9
84.0,10
85.0,11
86.0,12
89.0,13
96.0,14
97.0,15
100.0,16
101.0,17
108.0,18
111.0,19
112.0,20
113.0,21
116.0,22
123.0,23
124.0,24
127.0,25
128.0,26
135.0,27
138.0,28
139.0,29
140.0,30
143.0,31
150.0,32
151.0,33
154.0,34
155.0,35
162.0,36
165.0,37
166.0,38
167.0,39
170.0,40
177.0,41
178.0,42
181.0,43
182.0,44
189.0,45
192.0,46
193.0,47
194.0,48
197.0,49
204.0,50
205.0,51
208.0,52
209.0,53
216.0,54
219.0,55
220.0,56
221.0,57
224.0,58
231.0,59
232.0,60
235.0,61
236.0,62
243.0,63
246.0,64
247.0,65
248.0,66
251.0,67
258.0,68
259.0,69
262.0,70
263.0,71
270.0,72
273.0,73
274.0,74
275.0,75
278.0,76
285.0,77
286.0,78
289.0,79
290.0,80
297.0,81
300.0,82
301.0,83
302.0,84
305.0,85
312.0,86
313.0,87
316.0,88
317.0,89
324.0,90
327.0,91
328.0,92
329.0,93
332.0,94
339.0,95
340.0,96
343.0,97
344.0,98
351.0,99
354.0,100
355.0,101
356.0,102
359.0,103
366.0,104
367.0,105
370.0,106
371.0,107
378.0,108
381.0,109
382.0,110
383.0,111
386.0,112
393.0,113
394.0,114
397.0,115
398.0,116
405.0,117
408.0,118
409.0,119
410.0,120
413.0,121
420.0,122
421.0,123
424.0,124
425.0,125
432.0,126
435.0,127
436.0,128
437.0,129
440.0,130
447.0,131
448.0,132
451.0,133
452.0,134
459.0,135
462.0,136
463.0,137
464.0,138
467.0,139
474.0,140
475.0,141
478.0,142
479.0,143
486.0,144
489.0,145
490.0,146
491.0,147
494.0,148
501.0,149
502.0,150
505.0,151
506.0,152
513.0,153
516.0,154
517.0,155
518.0,156
521.0,157
528.0,158
529.0,159
532.0,160
533.0,161
540.0,162
543.0,163
544.0,164
545.0,165
548.0,166
555.0,167
556.0,168
559.0,169
560.0,170
567.0,171
570.0,172
571.0,173
572.0,174
575.0,175
582.0,176
583.0,177
586.0,178
587.0,179
594.0,180
597.0,181
598.0,182
599.0,183
602.0,184
609.0,185
610.0,186
613.0,187
614.0,188
621.0,189
624.0,190
625.0,191
626.0,192
629.0,193
636.0,194
637.0,195
640.0,196
641.0,197
648.0,198
651.0,199
652.0,200
653.0,201
656.0,202
663.0,203
664.0,204
667.0,205
668.0,206
675.0,207
678.0,208
679.0,209
680.0,210
683.0,211
690.0,212
