time,value
35.0,1
47.0,1
58.0,1
59.0,1
62.0,1
70.0,1
73.0,1
74.0,1
81.0,1
84.0,1
85.0,1
86.0,1
89.0,1
96.0,1
97.0,1
100.0,1
101.0,1
108.0,1
111.0,1
112.0,1
113.0,1
116.0,1
123.0,1
124.0,1
127.0,1
128.0,1
135.0,1
138.0,1
139.0,1
140.0,1
143.0,1
150.0,1
151.0,1
154.0,1
155.0,1
162.0,1
165.0,1
166.0,1
167.0,1
170.0,1
177.0,1
178.0,1
181.0,1
182.0,1
189.0,1
192.0,1
193.0,1
194.0,1
197.0,1
204.0,1
205.0,1
208.0,1
209.0,1
216.0,1
219.0,1
220.0,1
221.0,1
224.0,1
231.0,1
232.0,1
235.0,1
236.0,1
243.0,1
246.0,1
247.0,1
248.0,1
251.0,1
258.0,1
259.0,1
262.0,1
263.0,1
270.0,1
273.0,1
274.0,1
275.0,1
278.0,1
285.0,1
286.0,1
289.0,1
290.0,1
297.0,1
300.0,1
301.0,1
302.0,1
305.0,1
312.0,1
313.0,1
316.0,1
317.0,1
324.0,1
327.0,1
328.0,1
329.0,1
332.0,1
339.0,1
340.0,1
343.0,1
344.0,1
351.0,1
354.0,1
355.0,1
356.0,1
359.0,1
366.0,1
367.0,1
370.0,1
371.0,1
378.0,1
381.0,1
382.0,1
383.0,1
386.0,1
393.0,1
394.0,1
397.0,1
398.0,1
405.0,1
408.0,1
409.0,1
410.0,1
413.0,1
420.0,1
421.0,1
424.0,1
425.0,1
432.0,1
435.0,1
436.0,1
437.0,1
440.0,1
447.0,1
448.0,1
451.0,1
452.0,1
459.0,1
462.0,1
463.0,1
464.0,1
467.0,1
474.0,1
475.0,1
478.0,1
479.0,1
486.0,1
489.0,1
490.0,1
491.0,1
494.0,1
501.0,1
502.0,1
505.0,1
506.0,1
513.0,1
516.0,1
517.0,1
518.0,1
521.0,1
528.0,1
529.0,1
532.0,1
533.0,1
540.0,1
543.0,1
544.0,1
545.0,1
548.0,1
555.0,1
556.0,1
