time,value
35.0,1
47.0,2
59.0,3
62.0,4
69.0,5
84.0,6
89.0,7
92.0,8
101.0,9
109.0,10
112.0,11
123.0,12
145.0,13
146.0,14
152.0,15
154.0,16
156.0,17
160.0,18
166.0,19
180.0,20
185.0,21
196.0,22
202.0,23
209.0,24
211.0,25
214.0,26
216.0,27
218.0,28
224.0,29
224.0,30
231.0,31
236.0,32
237.0,33
239.0,34
247.0,35
248.0,36
257.0,37
258.0,38
259.0,39
263.0,40
264.0,41
272.0,42
274.0,43
275.0,44
275.0,45
278.0,46
281.0,47
281.0,48
284.0,49
284.0,50
291.0,51
292.0,52
297.0,53
298.0,54
303.0,55
305.0,56
307.0,57
309.0,58
312.0,59
317.0,60
318.0,61
320.0,62
328.0,63
329.0,64
331.0,65
333.0,66
339.0,67
341.0,68
344.0,69
346.0,70
349.0,71
353.0,72
353.0,73
356.0,74
356.0,75
357.0,76
357.0,77
360.0,78
360.0,79
364.0,80
368.0,81
368.0,82
371.0,83
372.0,84
372.0,85
373.0,86
377.0,87
378.0,88
378.0,89
378.0,90
381.0,91
382.0,92
383.0,93
386.0,94
388.0,95
389.0,96
392.0,97
392.0,98
393.0,99
394.0,100
394.0,101
395.0,102
397.0,103
398.0,104
401.0,105
404.0,106
407.0,107
409.0,108
409.0,109
410.0,110
410.0,111
414.0,112
416.0,113
418.0,114
424.0,115
425.0,116
426.0,117
429.0,118
430.0,119
430.0,120
432.0,121
432.0,122
434.0,123
435.0,124
437.0,125
440.0,126
447.0,127
452.0,128
454.0,129
457.0,130
459.0,131
461.0,132
463.0,133
464.0,134
467.0,135
470.0,136
475.0,137
479.0,138
483.0,139
484.0,140
488.0,141
490.0,142
491.0,143
495.0,144
496.0,145
501.0,146
507.0,147
512.0,148
513.0,149
515.0,150
517.0,151
518.0,152
518.0,153
521.0,154
530.0,155
532.0,156
533.0,157
535.0,158
538.0,159
544.0,160
546.0,161
549.0,162
552.0,163
557.0,164
561.0,165
567.0,166
567.0,167
570.0,168
572.0,169
576.0,170
580.0,171
583.0,172
584.0,173
586.0,174
587.0,175
589.0,176
593.0,177
597.0,178
598.0,179
599.0,180
602.0,181
609.0,182
609.0,183
610.0,184
614.0,185
614.0,186
621.0,187
625.0,188
626.0,189
630.0,190
634.0,191
642.0,192
647.0,193
648.0,194
650.0,195
651.0,196
653.0,197
656.0,198
660.0,199
663.0,200
668.0,201
673.0,202
675.0,203
677.0,204
679.0,205
679.0,206
680.0,207
683.0,208
694.0,209
696.0,210
696.0,211
700.0,212
