time,value
47.0,1
59.0,1
70.0,1
73.0,1
92.0,1
106.0,1
129.0,1
156.0,1
159.0,1
175.0,1
183.0,1
187.0,1
194.0,1
196.0,1
198.0,1
199.0,1
206.0,1
207.0,1
208.0,1
209.0,1
211.0,1
212.0,1
212.0,1
218.0,1
220.0,1
221.0,1
221.0,1
223.0,1
224.0,1
224.0,1
225.0,1
232.0,1
233.0,1
233.0,1
235.0,1
237.0,1
238.0,1
238.0,1
242.0,1
242.0,1
246.0,1
248.0,1
249.0,1
250.0,1
251.0,1
252.0,1
253.0,1
254.0,1
255.0,1
258.0,1
258.0,1
260.0,1
260.0,1
263.0,1
264.0,1
265.0,1
265.0,1
267.0,1
270.0,1
272.0,1
275.0,1
276.0,1
276.0,1
278.0,1
280.0,1
281.0,1
281.0,1
284.0,1
285.0,1
285.0,1
289.0,1
290.0,1
291.0,1
292.0,1
294.0,1
297.0,1
299.0,1
302.0,1
302.0,1
303.0,1
305.0,1
308.0,1
310.0,1
312.0,1
316.0,1
318.0,1
324.0,1
325.0,1
327.0,1
329.0,1
332.0,1
334.0,1
338.0,1
343.0,1
344.0,1
351.0,1
352.0,1
356.0,1
359.0,1
360.0,1
365.0,1
365.0,1
367.0,1
370.0,1
371.0,1
383.0,1
386.0,1
387.0,1
389.0,1
391.0,1
394.0,1
397.0,1
399.0,1
405.0,1
410.0,1
413.0,1
413.0,1
418.0,1
419.0,1
424.0,1
425.0,1
427.0,1
432.0,1
437.0,1
440.0,1
441.0,1
442.0,1
446.0,1
446.0,1
448.0,1
451.0,1
452.0,1
464.0,1
467.0,1
468.0,1
472.0,1
475.0,1
478.0,1
480.0,1
480.0,1
486.0,1
491.0,1
494.0,1
495.0,1
499.0,1
500.0,1
505.0,1
506.0,1
508.0,1
513.0,1
518.0,1
521.0,1
522.0,1
528.0,1
529.0,1
533.0,1
534.0,1
534.0,1
540.0,1
545.0,1
548.0,1
549.0,1
553.0,1
554.0,1
559.0,1
560.0,1
562.0,1
567.0,1
572.0,1
575.0,1
576.0,1
582.0,1
583.0,1
587.0,1
588.0,1
588.0,1
594.0,1
599.0,1
602.0,1
603.0,1
607.0,1
608.0,1
613.0,1
614.0,1
616.0,1
621.0,1
626.0,1
629.0,1
630.0,1
637.0,1
642.0,1
642.0,1
645.0,1
648.0,1
650.0,1
653.0,1
656.0,1
657.0,1
662.0,1
668.0,1
670.0,1
671.0,1
675.0,1
677.0,1
680.0,1
683.0,1
684.0,1
691.0,1
696.0,1
696.0,1
699.0,1
702.0,1
704.0,1
707.0,1
710.0,1
711.0,1
716.0,1
722.0,1
724.0,1
725.0,1
729.0,1
731.0,1
734.0,1
737.0,1
738.0,1
745.0,1
750.0,1
750.0,1
753.0,1
756.0,1
758.0,1
761.0,1
764.0,1
765.0,1
770.0,1
776.0,1
778.0,1
779.0,1
783.0,1
785.0,1
788.0,1
791.0,1
792.0,1
799.0,1
804.0,1
804.0,1
807.0,1
810.0,1
812.0,1
815.0,1
818.0,1
819.0,1
824.0,1
829.0,1
830.0,1
832.0,1
833.0,1
837.0,1
842.0,1
845.0,1
846.0,1
853.0,1
858.0,1
858.0,1
861.0,1
864.0,1
866.0,1
869.0,1
872.0,1
873.0,1
878.0,1
884.0,1
886.0,1
887.0,1
891.0,1
893.0,1
896.0,1
899.0,1
900.0,1
907.0,1
912.0,1
912.0,1
915.0,1
918.0,1
920.0,1
923.0,1
926.0,1
927.0,1
932.0,1
938.0,1
940.0,1
941.0,1
945.0,1
947.0,1
950.0,1
953.0,1
954.0,1
961.0,1
966.0,1
966.0,1
969.0,1
972.0,1
974.0,1
977.0,1
980.0,1
980.0,1
984.0,1
986.0,1
992.0,1
995.0,1
1000.0,1
1001.0,1
1005.0,1
1007.0,1
1007.0,1
1010.0,1
1014.0,1
1014.0,1
1020.0,1
1026.0,1
1029.0,1
1031.0,1
1034.0,1
1034.0,1
1037.0,1
1039.0,1
1040.0,1
1046.0,1
1053.0,1
1055.0,1
1058.0,1
1061.0,1
1062.0,1
1063.0,1
1068.0,1
1068.0,1
1074.0,1
1081.0,1
1082.0,1
1086.0,1
1088.0,1
1088.0,1
1092.0,1
1094.0,1
1095.0,1
1100.0,1
1108.0,1
1110.0,1
1113.0,1
1115.0,1
1115.0,1
1118.0,1
1122.0,1
1122.0,1
1128.0,1
1134.0,1
1137.0,1
1139.0,1
1142.0,1
1143.0,1
1145.0,1
1147.0,1
1148.0,1
1154.0,1
1161.0,1
1163.0,1
1166.0,1
1170.0,1
1171.0,1
1176.0,1
1176.0,1
1182.0,1
1188.0,1
1190.0,1
1193.0,1
1196.0,1
1197.0,1
1199.0,1
1202.0,1
1208.0,1
1211.0,1
1215.0,1
1217.0,1
1220.0,1
1223.0,1
1224.0,1
1231.0,1
1236.0,1
1236.0,1
1239.0,1
1242.0,1
1244.0,1
1247.0,1
1250.0,1
1250.0,1
1251.0,1
1256.0,1
1262.0,1
1264.0,1
1265.0,1
1269.0,1
1271.0,1
1274.0,1
1277.0,1
1278.0,1
1285.0,1
1290.0,1
1290.0,1
1293.0,1
1296.0,1
1298.0,1
1301.0,1
1304.0,1
1305.0,1
1310.0,1
1316.0,1
1318.0,1
1319.0,1
1323.0,1
1325.0,1
1328.0,1
1331.0,1
1332.0,1
1339.0,1
1344.0,1
1344.0,1
1347.0,1
1350.0,1
1352.0,1
1355.0,1
1358.0,1
1359.0,1
1364.0,1
1370.0,1
1372.0,1
1373.0,1
1377.0,1
1379.0,1
1382.0,1
1385.0,1
1386.0,1
1393.0,1
1398.0,1
1398.0,1
1401.0,1
1404.0,1
1406.0,1
1409.0,1
1412.0,1
1413.0,1
1418.0,1
1424.0,1
1426.0,1
1427.0,1
1431.0,1
1433.0,1
1436.0,1
1439.0,1
1440.0,1
1447.0,1
1452.0,1
1452.0,1
1455.0,1
1458.0,1
1460.0,1
1463.0,1
1466.0,1
1467.0,1
1472.0,1
1478.0,1
1480.0,1
1481.0,1
1485.0,1
1487.0,1
1490.0,1
1493.0,1
1494.0,1
1501.0,1
1506.0,1
1509.0,1
1512.0,1
1514.0,1
1517.0,1
1520.0,1
1521.0,1
1526.0,1
1532.0,1
1534.0,1
1535.0,1
1541.0,1
1544.0,1
1547.0,1
1548.0,1
1560.0,1
1560.0,1
1563.0,1
1566.0,1
1568.0,1
1574.0,1
1575.0,1
1580.0,1
1586.0,1
1589.0,1
1589.0,1
1594.0,1
1595.0,1
1597.0,1
1601.0,1
1602.0,1
1609.0,1
1614.0,1
1614.0,1
1618.0,1
1620.0,1
1624.0,1
1628.0,1
1629.0,1
1634.0,1
1640.0,1
1642.0,1
1643.0,1
1647.0,1
1647.0,1
1649.0,1
1652.0,1
1655.0,1
1657.0,1
1662.0,1
1663.0,1
1668.0,1
1668.0,1
1671.0,1
1674.0,1
1676.0,1
1679.0,1
1682.0,1
1683.0,1
1688.0,1
1691.0,1
1694.0,1
1696.0,1
1697.0,1
1701.0,1
1702.0,1
1703.0,1
1705.0,1
1706.0,1
1709.0,1
1710.0,1
1717.0,1
1722.0,1
1722.0,1
1725.0,1
1728.0,1
1730.0,1
1733.0,1
1736.0,1
1736.0,1
1742.0,1
1748.0,1
1750.0,1
1751.0,1
1755.0,1
1757.0,1
1760.0,1
1763.0,1
1763.0,1
1765.0,1
1770.0,1
1776.0,1
1779.0,1
1782.0,1
1784.0,1
1787.0,1
1790.0,1
1790.0,1
1793.0,1
1796.0,1
1802.0,1
1805.0,1
1809.0,1
1811.0,1
1814.0,1
1817.0,1
1817.0,1
1819.0,1
1824.0,1
1830.0,1
1833.0,1
1836.0,1
1838.0,1
1841.0,1
1844.0,1
1845.0,1
1847.0,1
1850.0,1
1856.0,1
1859.0,1
1863.0,1
1865.0,1
1868.0,1
1871.0,1
1872.0,1
1879.0,1
1884.0,1
1884.0,1
1887.0,1
1890.0,1
1892.0,1
1895.0,1
1898.0,1
1898.0,1
1902.0,1
1904.0,1
1910.0,1
1913.0,1
1917.0,1
1919.0,1
1922.0,1
1925.0,1
1926.0,1
1927.0,1
1932.0,1
1938.0,1
1941.0,1
1944.0,1
1946.0,1
1949.0,1
1952.0,1
1953.0,1
1959.0,1
1964.0,1
1966.0,1
1967.0,1
1971.0,1
1973.0,1
1976.0,1
1979.0,1
1979.0,1
1986.0,1
1992.0,1
1992.0,1
1995.0,1
1998.0,1
2000.0,1
2003.0,1
2006.0,1
2006.0,1
2009.0,1
2012.0,1
2018.0,1
2021.0,1
2025.0,1
2027.0,1
2030.0,1
2033.0,1
2034.0,1
2035.0,1
2040.0,1
2046.0,1
2049.0,1
2052.0,1
2054.0,1
2057.0,1
2060.0,1
2061.0,1
2067.0,1
2072.0,1
2074.0,1
2075.0,1
2079.0,1
2081.0,1
2084.0,1
2087.0,1
2088.0,1
2094.0,1
2100.0,1
2100.0,1
2103.0,1
2106.0,1
2108.0,1
2111.0,1
2114.0,1
2115.0,1
2121.0,1
2126.0,1
2128.0,1
2129.0,1
2133.0,1
2135.0,1
2138.0,1
2141.0,1
2142.0,1
2148.0,1
2154.0,1
2154.0,1
2157.0,1
2160.0,1
2162.0,1
2165.0,1
2168.0,1
2169.0,1
2175.0,1
2180.0,1
2182.0,1
2183.0,1
2187.0,1
2189.0,1
2192.0,1
2195.0,1
2196.0,1
2202.0,1
2208.0,1
2208.0,1
2211.0,1
2214.0,1
2216.0,1
2219.0,1
2222.0,1
2223.0,1
2229.0,1
2234.0,1
2236.0,1
2237.0,1
2241.0,1
2243.0,1
2246.0,1
2249.0,1
2250.0,1
2256.0,1
2262.0,1
2262.0,1
2265.0,1
2268.0,1
2270.0,1
2273.0,1
2276.0,1
2277.0,1
2283.0,1
2288.0,1
2290.0,1
2291.0,1
2296.0,1
2297.0,1
2301.0,1
2303.0,1
2304.0,1
2310.0,1
2311.0,1
2316.0,1
2316.0,1
2322.0,1
2325.0,1
2327.0,1
2330.0,1
2331.0,1
2337.0,1
2342.0,1
2344.0,1
2345.0,1
2349.0,1
2351.0,1
2354.0,1
2358.0,1
2358.0,1
2364.0,1
2370.0,1
2370.0,1
2373.0,1
2376.0,1
2378.0,1
2381.0,1
2384.0,1
2385.0,1
2391.0,1
2396.0,1
2398.0,1
2399.0,1
2403.0,1
2405.0,1
2408.0,1
2411.0,1
2412.0,1
2418.0,1
2424.0,1
2424.0,1
2430.0,1
2432.0,1
2435.0,1
2438.0,1
2439.0,1
2445.0,1
2450.0,1
2452.0,1
2453.0,1
2457.0,1
2459.0,1
2462.0,1
2465.0,1
2466.0,1
2472.0,1
2478.0,1
2478.0,1
2481.0,1
2484.0,1
2486.0,1
2489.0,1
2492.0,1
2493.0,1
2499.0,1
2504.0,1
2506.0,1
2507.0,1
2511.0,1
2513.0,1
2516.0,1
2519.0,1
2519.0,1
2520.0,1
2526.0,1
2532.0,1
2532.0,1
2535.0,1
2538.0,1
2540.0,1
2543.0,1
2546.0,1
2547.0,1
2553.0,1
2558.0,1
2560.0,1
2561.0,1
2565.0,1
2567.0,1
2570.0,1
2573.0,1
2574.0,1
2580.0,1
2586.0,1
2586.0,1
2589.0,1
2592.0,1
2592.0,1
2594.0,1
2597.0,1
2600.0,1
2607.0,1
2612.0,1
2614.0,1
2615.0,1
2619.0,1
2621.0,1
2624.0,1
2627.0,1
2628.0,1
2634.0,1
2640.0,1
2640.0,1
2643.0,1
2646.0,1
2646.0,1
2648.0,1
2651.0,1
2654.0,1
2661.0,1
2666.0,1
2668.0,1
2671.0,1
2673.0,1
2675.0,1
2678.0,1
2682.0,1
2688.0,1
2694.0,1
2694.0,1
2698.0,1
2700.0,1
2700.0,1
2702.0,1
2705.0,1
2709.0,1
2716.0,1
2720.0,1
2722.0,1
2723.0,1
2727.0,1
2729.0,1
2732.0,1
2735.0,1
2736.0,1
2743.0,1
2748.0,1
2749.0,1
2751.0,1
2754.0,1
2756.0,1
2759.0,1
2761.0,1
2762.0,1
2763.0,1
2769.0,1
2774.0,1
2776.0,1
2777.0,1
2781.0,1
2783.0,1
2786.0,1
2789.0,1
2790.0,1
2796.0,1
2802.0,1
2802.0,1
2805.0,1
2808.0,1
2810.0,1
2813.0,1
2817.0,1
2823.0,1
2828.0,1
2830.0,1
2835.0,1
2837.0,1
2840.0,1
2843.0,1
2844.0,1
2850.0,1
2856.0,1
2856.0,1
2859.0,1
2862.0,1
2864.0,1
2867.0,1
2870.0,1
2871.0,1
2877.0,1
2882.0,1
2884.0,1
2885.0,1
2889.0,1
2894.0,1
2897.0,1
2898.0,1
2904.0,1
2907.0,1
2910.0,1
2910.0,1
2913.0,1
2916.0,1
2918.0,1
2921.0,1
2922.0,1
2924.0,1
2925.0,1
2931.0,1
2936.0,1
2938.0,1
2939.0,1
2943.0,1
2945.0,1
2948.0,1
2951.0,1
2952.0,1
2958.0,1
2964.0,1
2964.0,1
2967.0,1
2970.0,1
2972.0,1
2975.0,1
2978.0,1
2979.0,1
2982.0,1
2985.0,1
2990.0,1
2992.0,1
2993.0,1
2997.0,1
2999.0,1
3002.0,1
3005.0,1
3006.0,1
3012.0,1
3018.0,1
3018.0,1
3021.0,1
3024.0,1
3026.0,1
3029.0,1
3032.0,1
3033.0,1
3039.0,1
3044.0,1
3046.0,1
3047.0,1
3051.0,1
3053.0,1
3056.0,1
3059.0,1
3060.0,1
3066.0,1
3072.0,1
3072.0,1
3075.0,1
3078.0,1
3080.0,1
3083.0,1
3086.0,1
3087.0,1
3093.0,1
3098.0,1
3100.0,1
3101.0,1
3105.0,1
3107.0,1
3110.0,1
3113.0,1
3114.0,1
3120.0,1
3126.0,1
3126.0,1
3129.0,1
3132.0,1
3134.0,1
3137.0,1
3140.0,1
3141.0,1
3147.0,1
3152.0,1
3154.0,1
3155.0,1
3159.0,1
3161.0,1
3164.0,1
3167.0,1
3168.0,1
3174.0,1
3180.0,1
3180.0,1
3183.0,1
3186.0,1
3188.0,1
3191.0,1
3194.0,1
3195.0,1
3201.0,1
3206.0,1
3208.0,1
3209.0,1
3213.0,1
3215.0,1
3218.0,1
3221.0,1
3222.0,1
3228.0,1
3234.0,1
3234.0,1
3237.0,1
3240.0,1
3242.0,1
3245.0,1
3248.0,1
3249.0,1
3255.0,1
3260.0,1
3262.0,1
3263.0,1
3267.0,1
3269.0,1
3272.0,1
3275.0,1
3276.0,1
3278.0,1
3282.0,1
3288.0,1
3291.0,1
3294.0,1
3296.0,1
3299.0,1
3302.0,1
3303.0,1
3309.0,1
3314.0,1
3316.0,1
3317.0,1
3321.0,1
3323.0,1
3326.0,1
3329.0,1
3330.0,1
3336.0,1
3342.0,1
3342.0,1
3345.0,1
3348.0,1
3350.0,1
3353.0,1
3356.0,1
3357.0,1
3363.0,1
3368.0,1
3370.0,1
3371.0,1
3375.0,1
