time,value,min,max
0,53.68852459016394,35.0,75
200,55.298507462686565,35.0,75
400,54.705882352941174,35.0,75
600,55.298507462686565,35.0,75
800,54.705882352941174,35.0,75
1000,55.298507462686565,35.0,75
1200,55.0,35.0,75
1400,54.705882352941174,35.0,75
1600,55.298507462686565,35.0,75
1800,54.705882352941174,35.0,75
2000,55.298507462686565,35.0,75
2200,54.6875,35.0,75
2400,55.0,35.0,75
2600,55.298507462686565,35.0,75
2800,54.705882352941174,35.0,75
3000,55.298507462686565,35.0,75
3200,54.6875,35.0,75
3400,55.0,35.0,75
3600,55.298507462686565,35.0,75
3800,54.705882352941174,35.0,75
4000,55.298507462686565,35.0,75
4200,54.6875,35.0,75
