time,value,min,max
0,98.64864864864865,35.0,206.0
200,90.34883720930233,35.0,237.0
400,62.776119402985074,35.0,97.0
600,65.8970588235294,35.0,97.0
800,65.31884057971014,35.0,97.0
1000,63.96923076923077,35.0,96.0
1200,66.375,35.0,116.0
1400,68.12903225806451,35.0,127.0
1600,71.3972602739726,35.0,229.0
1800,64.73529411764706,35.0,97.0
2000,65.61194029850746,35.0,97.0
2200,64.58730158730158,35.0,97.0
2400,67.29850746268657,35.0,188.0
2600,67.13636363636364,35.0,187.0
2800,69.1159420289855,35.0,186.0
3000,66.05882352941177,35.0,97.0
3200,65.43076923076923,35.0,97.0
3400,65.16923076923077,35.0,97.0
3600,66.05882352941177,35.0,97.0
3800,66.22388059701493,35.0,177.0
4000,66.05882352941177,35.0,97.0
4200,65.140625,35.0,97.0
