time,value
0,27.185000000000027
200,32.03000000000003
400,31.960000000000033
600,32.04000000000004
800,32.03000000000004
1000,31.955000000000037
1200,32.00500000000003
1400,31.980000000000036
1600,32.025000000000034
1800,32.01000000000003
2000,31.995000000000037
2200,31.985000000000035
2400,31.97500000000003
2600,32.05000000000004
2800,31.995000000000033
3000,32.01000000000003
3200,31.985000000000035
3400,31.95000000000003
3600,32.05000000000004
3800,32.000000000000036
4000,32.03500000000004
4200,31.980000000000036
