time,value
0,37.26000000000001
200,64.32000000000005
400,28.250000000000007
600,26.799999999999994
800,25.664999999999985
1000,24.060000000000013
1200,23.464999999999993
1400,22.734999999999985
1600,23.539999999999967
1800,22.629999999999946
2000,22.339999999999968
2200,22.224999999999948
2400,22.19499999999995
2600,22.199999999999946
2800,22.214999999999954
3000,22.374999999999954
3200,22.16499999999995
3400,22.20499999999995
3600,22.199999999999946
3800,22.204999999999952
4000,22.189999999999948
4200,22.22499999999995
