time,value
35.0,1
47.0,2
59.0,3
62.0,4
69.0,5
84.0,6
89.0,7
92.0,8
101.0,9
109.0,10
112.0,11
123.0,12
136.0,13
145.0,14
146.0,15
160.0,16
170.0,17
173.0,18
177.0,19
179.0,20
189.0,21
194.0,22
194.0,23
197.0,24
198.0,25
201.0,26
206.0,27
208.0,28
211.0,29
212.0,30
218.0,31
221.0,32
224.0,33
226.0,34
234.0,35
236.0,36
241.0,37
249.0,38
249.0,39
251.0,40
254.0,41
258.0,42
260.0,43
262.0,44
265.0,45
267.0,46
268.0,47
269.0,48
283.0,49
293.0,50
293.0,51
295.0,52
295.0,53
297.0,54
300.0,55
306.0,56
313.0,57
313.0,58
314.0,59
318.0,60
322.0,61
326.0,62
327.0,63
331.0,64
332.0,65
334.0,66
335.0,67
339.0,68
341.0,69
357.0,70
362.0,71
363.0,72
368.0,73
369.0,74
373.0,75
377.0,76
378.0,77
381.0,78
382.0,79
382.0,80
383.0,81
387.0,82
389.0,83
391.0,84
391.0,85
393.0,86
396.0,87
398.0,88
398.0,89
404.0,90
405.0,91
406.0,92
407.0,93
411.0,94
411.0,95
412.0,96
415.0,97
415.0,98
416.0,99
416.0,100
417.0,101
423.0,102
423.0,103
424.0,104
425.0,105
426.0,106
427.0,107
428.0,108
429.0,109
432.0,110
432.0,111
435.0,112
435.0,113
437.0,114
437.0,115
438.0,116
440.0,117
442.0,118
442.0,119
444.0,120
445.0,121
445.0,122
448.0,123
450.0,124
451.0,125
452.0,126
457.0,127
458.0,128
459.0,129
464.0,130
464.0,131
465.0,132
465.0,133
467.0,134
478.0,135
480.0,136
484.0,137
485.0,138
486.0,139
489.0,140
491.0,141
492.0,142
494.0,143
496.0,144
500.0,145
503.0,146
505.0,147
506.0,148
509.0,149
511.0,150
513.0,151
518.0,152
521.0,153
528.0,154
528.0,155
532.0,156
534.0,157
539.0,158
540.0,159
541.0,160
544.0,161
545.0,162
549.0,163
554.0,164
559.0,165
560.0,166
566.0,167
567.0,168
572.0,169
572.0,170
575.0,171
578.0,172
582.0,173
583.0,174
587.0,175
587.0,176
592.0,177
599.0,178
602.0,179
605.0,180
608.0,181
610.0,182
613.0,183
614.0,184
617.0,185
620.0,186
621.0,187
626.0,188
630.0,189
635.0,190
635.0,191
637.0,192
640.0,193
641.0,194
653.0,195
656.0,196
657.0,197
659.0,198
661.0,199
663.0,200
664.0,201
667.0,202
668.0,203
676.0,204
679.0,205
679.0,206
680.0,207
683.0,208
684.0,209
690.0,210
691.0,211
694.0,212
