time,value
0,35.0
12,35.0
24,35.0
27,35.0
3,66.0
9,75.0
54,35.0
6,86.0
66,35.0
33,76.0
57,55.0
36,87.0
60,76.0
30,115.0
39,107.0
75,85.0
135,35.0
87,86.0
111,66.0
123,56.0
72,117.0
138,56.0
159,35.0
117,80.0
102,96.0
81,120.0
48,158.0
153,55.0
174,37.0
93,119.0
18,200.0
129,92.0
63,161.0
108,118.0
165,69.0
201,35.0
51,190.0
21,228.0
213,36.0
216,35.0
147,107.0
192,66.0
183,77.0
171,91.0
228,37.0
126,141.0
45,223.0
69,200.0
195,88.0
234,59.0
255,38.0
198,97.0
96,199.0
186,111.0
231,69.0
270,36.0
99,214.0
246,67.0
177,137.0
282,36.0
204,118.0
132,195.0
294,37.0
249,88.0
168,171.0
243,98.0
207,140.0
285,66.0
240,112.0
78,276.0
321,35.0
42,316.0
276,90.0
336,37.0
141,233.0
90,285.0
162,215.0
312,68.0
189,192.0
219,163.0
291,92.0
327,58.0
348,37.0
351,36.0
150,238.0
210,182.0
363,37.0
303,98.0
105,297.0
306,97.0
144,260.0
120,284.0
237,168.0
261,145.0
258,148.0
225,182.0
180,228.0
222,186.0
375,35.0
378,35.0
156,259.0
354,66.0
264,157.0
345,78.0
273,151.0
366,58.0
279,146.0
390,35.0
369,59.0
330,99.0
309,121.0
402,35.0
114,324.0
405,37.0
84,358.0
288,155.0
357,86.0
324,120.0
315,131.0
381,65.0
300,148.0
393,55.0
417,36.0
372,82.0
360,97.0
267,193.0
396,65.0
387,75.0
429,35.0
408,57.0
432,36.0
423,55.0
444,35.0
318,162.0
384,97.0
339,143.0
399,87.0
420,66.0
411,78.0
414,76.0
456,35.0
342,150.0
459,35.0
297,199.0
435,66.0
447,55.0
450,55.0
471,35.0
252,260.0
333,184.0
483,35.0
486,35.0
426,95.0
438,86.0
441,85.0
462,65.0
474,55.0
477,55.0
498,35.0
453,85.0
489,55.0
510,35.0
513,36.0
465,85.0
468,86.0
525,36.0
480,87.0
501,67.0
504,65.0
516,56.0
537,36.0
540,35.0
492,87.0
495,87.0
507,75.0
531,56.0
552,35.0
528,66.0
522,76.0
543,55.0
564,35.0
567,35.0
519,86.0
555,55.0
579,35.0
534,86.0
546,75.0
558,65.0
570,55.0
591,35.0
594,36.0
582,55.0
585,55.0
606,35.0
549,95.0
561,86.0
597,56.0
618,35.0
621,35.0
573,86.0
576,85.0
609,55.0
612,55.0
633,35.0
588,85.0
600,76.0
645,35.0
648,35.0
603,85.0
624,66.0
660,36.0
615,85.0
636,66.0
627,76.0
639,65.0
651,55.0
672,35.0
675,35.0
642,75.0
663,56.0
687,35.0
