time,value
0,35.0
12,35.0
3,55.0
24,35.0
42,68.0
21,95.0
39,128.0
135,37.0
90,86.0
111,67.0
36,149.0
9,180.0
126,67.0
45,149.0
159,35.0
117,79.0
162,36.0
81,125.0
150,56.0
72,138.0
27,187.0
33,181.0
129,88.0
105,112.0
108,110.0
153,66.0
69,152.0
186,36.0
189,35.0
165,67.0
141,92.0
144,90.0
15,219.0
63,173.0
180,57.0
201,36.0
96,143.0
60,180.0
18,223.0
84,159.0
177,66.0
54,190.0
51,195.0
213,35.0
132,119.0
216,38.0
156,98.0
87,169.0
147,111.0
192,67.0
99,161.0
171,90.0
66,195.0
228,35.0
30,234.0
168,97.0
6,262.0
204,66.0
93,178.0
207,65.0
183,89.0
57,218.0
240,35.0
48,229.0
243,35.0
78,200.0
102,177.0
195,87.0
198,87.0
219,68.0
234,55.0
138,151.0
255,36.0
174,119.0
231,66.0
210,88.0
114,184.0
246,55.0
267,35.0
120,183.0
270,36.0
225,86.0
261,55.0
282,35.0
222,98.0
237,86.0
258,66.0
252,76.0
75,253.0
294,35.0
297,35.0
273,67.0
264,77.0
123,219.0
288,55.0
309,36.0
249,96.0
285,66.0
279,76.0
321,35.0
324,36.0
300,65.0
291,75.0
312,56.0
336,35.0
276,97.0
315,65.0
306,76.0
348,35.0
351,35.0
303,86.0
327,67.0
318,77.0
342,55.0
363,36.0
339,66.0
354,55.0
375,35.0
378,36.0
330,87.0
333,85.0
345,75.0
369,55.0
390,35.0
366,66.0
360,76.0
402,35.0
405,35.0
357,86.0
381,66.0
393,55.0
396,55.0
417,35.0
372,85.0
387,75.0
429,35.0
432,35.0
408,66.0
423,55.0
444,36.0
384,96.0
399,86.0
420,66.0
456,35.0
459,35.0
411,86.0
414,85.0
435,65.0
426,75.0
450,55.0
471,35.0
447,66.0
462,55.0
483,35.0
441,78.0
486,36.0
438,85.0
453,75.0
474,56.0
477,55.0
498,35.0
468,76.0
510,35.0
513,35.0
489,66.0
480,76.0
501,55.0
504,55.0
525,35.0
465,96.0
516,55.0
537,35.0
540,36.0
492,86.0
495,85.0
507,76.0
531,55.0
552,36.0
528,66.0
522,75.0
564,35.0
567,35.0
519,87.0
543,66.0
534,76.0
555,56.0
558,55.0
579,35.0
546,76.0
549,76.0
570,55.0
591,35.0
594,35.0
561,75.0
582,55.0
585,55.0
606,35.0
618,35.0
621,35.0
573,85.0
576,85.0
597,65.0
609,55.0
612,55.0
633,35.0
588,85.0
645,35.0
648,35.0
600,85.0
603,85.0
624,66.0
615,76.0
639,55.0
660,36.0
636,66.0
651,55.0
672,35.0
675,35.0
627,86.0
630,85.0
642,75.0
