time,value
35.0,1
47.0,1
59.0,1
62.0,1
69.0,1
84.0,1
89.0,1
92.0,1
101.0,1
109.0,1
112.0,1
123.0,1
136.0,1
145.0,1
146.0,1
160.0,1
170.0,1
173.0,1
177.0,1
179.0,1
182.0,1
184.0,1
185.0,1
194.0,1
194.0,1
197.0,1
197.0,1
201.0,1
205.0,1
208.0,1
209.0,1
218.0,1
220.0,1
221.0,1
221.0,1
228.0,1
232.0,1
235.0,1
236.0,1
236.0,1
242.0,1
247.0,1
248.0,1
254.0,1
259.0,1
260.0,1
264.0,1
264.0,1
264.0,1
269.0,1
276.0,1
282.0,1
287.0,1
287.0,1
291.0,1
305.0,1
306.0,1
310.0,1
314.0,1
318.0,1
320.0,1
329.0,1
330.0,1
333.0,1
334.0,1
338.0,1
339.0,1
341.0,1
342.0,1
345.0,1
346.0,1
352.0,1
352.0,1
361.0,1
362.0,1
367.0,1
368.0,1
369.0,1
369.0,1
371.0,1
375.0,1
376.0,1
377.0,1
379.0,1
383.0,1
384.0,1
384.0,1
386.0,1
387.0,1
387.0,1
388.0,1
389.0,1
392.0,1
392.0,1
396.0,1
396.0,1
399.0,1
399.0,1
399.0,1
400.0,1
401.0,1
405.0,1
406.0,1
408.0,1
410.0,1
411.0,1
413.0,1
413.0,1
419.0,1
420.0,1
420.0,1
425.0,1
425.0,1
428.0,1
431.0,1
432.0,1
434.0,1
437.0,1
438.0,1
438.0,1
439.0,1
440.0,1
444.0,1
447.0,1
451.0,1
454.0,1
455.0,1
456.0,1
457.0,1
459.0,1
459.0,1
463.0,1
464.0,1
465.0,1
467.0,1
468.0,1
471.0,1
477.0,1
479.0,1
482.0,1
488.0,1
488.0,1
491.0,1
491.0,1
494.0,1
495.0,1
505.0,1
507.0,1
507.0,1
511.0,1
511.0,1
513.0,1
516.0,1
517.0,1
518.0,1
522.0,1
527.0,1
528.0,1
533.0,1
540.0,1
542.0,1
545.0,1
545.0,1
546.0,1
548.0,1
561.0,1
561.0,1
565.0,1
