time,value
0.0,0.0
0.0,0.0
3.0,6.0
6.0,9.0
9.0,12.0
10.0,4.0
12.0,10.0
13.0,5.0
15.0,12.0
16.0,6.0
18.0,14.0
19.0,7.0
20.0,7.0
21.0,8.0
22.0,8.0
23.0,8.0
24.0,9.0
25.0,9.0
26.0,9.0
27.0,10.0
28.0,10.0
29.0,10.0
30.0,11.0
31.0,11.0
32.0,11.0
33.0,12.0
34.0,16.0
35.0,16.0
36.0,16.0
37.0,20.0
38.0,20.0
39.0,21.0
40.0,21.0
41.0,21.0
42.0,22.0
43.0,22.0
44.0,18.0
45.0,19.0
46.0,23.0
47.0,19.0
48.0,19.0
49.0,23.0
50.0,23.0
51.0,24.0
52.0,24.0
53.0,24.0
54.0,25.0
55.0,25.0
56.0,21.0
57.0,22.0
58.0,26.0
59.0,21.0
60.0,21.0
61.0,21.0
62.0,21.0
63.0,22.0
64.0,26.0
65.0,26.0
66.0,31.0
67.0,31.0
68.0,27.0
69.0,32.0
70.0,32.0
71.0,32.0
72.0,33.0
73.0,33.0
74.0,29.0
75.0,30.0
76.0,30.0
77.0,30.0
78.0,31.0
79.0,31.0
80.0,31.0
81.0,32.0
82.0,32.0
82.0,0.0
83.0,32.0
83.0,0.1954734602824309
84.0,33.0
85.0,37.0
86.0,37.0
87.0,38.0
88.0,38.0
88.0,0.0
89.0,34.0
89.0,0.1710391423343286
90.0,35.0
91.0,35.0
91.0,0.0
92.0,35.0
92.0,0.21990781691978817
93.0,36.0
94.0,36.0
95.0,32.0
96.0,29.0
97.0,29.0
97.0,0.0
98.0,33.0
98.0,0.1954734602824309
99.0,34.0
100.0,34.0
100.0,0.0
101.0,34.0
101.0,0.21990781691978817
102.0,39.0
103.0,39.0
104.0,39.0
105.0,44.0
106.0,44.0
106.0,0.0
107.0,44.0
107.0,0.1954734602824309
108.0,41.0
109.0,41.0
110.0,41.0
111.0,45.0
112.0,45.0
113.0,45.0
114.0,46.0
115.0,46.0
115.0,0.0
116.0,46.0
116.0,0.21990781691978817
117.0,46.0
118.0,50.0
119.0,54.0
120.0,55.0
121.0,51.0
121.0,0.0
122.0,51.0
122.0,0.024819753959945956
123.0,56.0
124.0,56.0
125.0,56.0
126.0,61.0
127.0,61.0
128.0,61.0
129.0,62.0
130.0,62.0
130.0,0.0
130.0,0.0
131.0,62.0
131.0,0.2443422122464004
131.0,0.2443422122464004
132.0,67.0
132.0,0.0
