time,value,min,max
0,224.32250000000002,199.99999999999991,267.3399999999999
150,243.12500000000003,199.9999999999999,415.61999999999995
300,233.90724137931028,199.99999999999955,295.4000000000001
450,231.98524999999964,199.99999999999943,370.7899999999994
600,228.6747368421052,199.99999999999977,304.9599999999997
750,226.02000000000007,199.99999999999977,350.11
900,236.0007692307687,199.99999999999898,336.2800000000001
1050,241.23361111111066,199.99999999999932,377.57999999999913
1200,243.29799999999992,199.99999999999932,420.4799999999998
1350,250.0556249999999,199.99999999999932,379.8399999999999
1500,234.03757575757552,199.99999999999932,340.1099999999999
1650,247.61033333333344,199.99999999999955,343.32000000000016
1800,252.89187499999977,199.99999999999864,401.26000000000045
1950,227.97599999999974,199.99999999999955,341.26999999999816
2100,223.88250000000025,199.9999999999991,306.3799999999992
2250,235.98085714285818,199.9999999999991,405.8899999999999
2400,230.42206896551662,199.9999999999991,326.329999999999
2550,236.6892682926827,199.9999999999991,319.0100000000007
2700,231.0761538461536,199.9999999999991,288.12999999999965
2850,234.9077777777784,200.00000000000045,318.12000000000035
3000,239.27606060606166,199.99999999999955,342.8200000000015
3150,240.2121212121217,199.99999999999955,382.0700000000006
