time,value,min,max
0,223.78193548387097,199.9999999999999,275.0899999999999
150,225.02804347826077,199.99999999999972,293.93999999999977
300,220.46292682926833,199.99999999999972,313.4999999999998
450,223.6694871794874,200.0000000000001,289.49000000000046
600,232.12428571428575,199.9999999999999,306.29000000000053
750,225.87176470588233,199.99999999999966,318.2800000000001
900,236.97736842105232,199.9999999999991,366.49999999999966
1050,245.26146341463328,199.99999999999864,417.109999999999
1200,222.80371428571374,199.9999999999991,289.3199999999988
1350,226.1272222222216,199.99999999999886,285.5599999999988
1500,234.92099999999942,199.9999999999991,383.3199999999988
1650,243.62666666666615,199.99999999999932,488.5499999999986
1800,229.70937499999968,199.99999999999932,326.7399999999998
1950,229.420882352941,199.99999999999886,333.25999999999885
2100,247.23428571428653,199.99999999999955,448.640000000001
2250,247.9691891891895,199.99999999999955,385.4100000000017
2400,227.02428571428547,199.9999999999991,314.8899999999999
2550,235.3631707317073,199.99999999999818,360.6199999999999
2700,230.83228571428668,199.99999999999955,390.92999999999984
2850,224.9297560975607,199.99999999999818,295.1999999999998
3000,220.7740540540537,199.99999999999773,333.0499999999997
3150,230.6021621621626,200.0,342.59999999999854
