time,value,min,max
0,218.20290322580647,200.0,275.0900000000001
150,242.3417021276595,199.99999999999972,394.5499999999998
300,224.74648648648636,199.99999999999977,303.68
450,228.12222222222226,199.9999999999999,370.45999999999987
600,235.42666666666665,199.9999999999999,356.8299999999999
750,226.45774999999995,199.99999999999977,274.4
900,223.37923076923022,199.9999999999992,291.94999999999925
1050,230.5219047619044,199.99999999999932,337.4499999999996
1200,228.61874999999947,199.9999999999991,320.53999999999905
1350,243.519459459459,199.9999999999991,358.349999999999
1500,236.31538461538412,199.99999999999932,340.05999999999926
1650,227.4893023255815,200.0,304.08000000000015
1800,227.53270270270323,199.99999999999977,287.5800000000004
1950,231.55780487804964,200.0,399.0300000000011
2100,241.41000000000082,200.0,444.51000000000204
2250,233.73977272727362,200.0,313.96000000000186
2400,226.79950000000022,199.99999999999955,319.2800000000011
2550,229.88923076923143,200.0,332.130000000001
2700,227.00217391304486,200.0,341.11000000000104
2850,241.70700000000198,200.0000000000009,490.7300000000032
3000,224.6050000000007,199.99999999999955,328.1200000000017
3150,246.37186046511627,199.99999999999864,412.5
