time,value
0,2998119.6780180302
150,542004.1840783807
300,368971.0724083579
450,369676.8389957196
600,403440.99002117943
750,446791.35934602417
900,414795.3208006032
1050,346636.65579178167
1200,366314.75629763305
1350,342066.958338528
1500,252880.54034425886
1650,376735.33796869376
1800,324368.1509466265
1950,313163.38147424895
2100,416118.22191947594
2250,399648.09011526353
2400,373088.141467222
2550,386453.48574931954
2700,362477.66981336335
2850,408817.775809706
3000,423564.9425510754
3150,375601.6388934794
3300,330557.03600384464
3450,692632.3224655942
