time,value
0,3003599.100038891
150,499423.22168915474
300,400308.3743843153
450,430610.49675124604
600,456627.2861542776
750,382080.55734743405
900,312920.6893062044
1050,230898.76794569215
1200,392684.2503103112
1350,436998.3063686643
1500,401873.1573707148
1650,287843.77463173395
1800,361027.2756242254
1950,322636.5633976656
2100,306157.0091498791
2250,292385.6761248002
2400,334493.67342380376
2550,421242.32619239803
2700,355702.2655002611
2850,367731.24407705816
3000,472295.4978717427
3150,425177.9887302574
3300,351108.6158226619
3450,659655.1505214518
