time,value
0,3003599.100038891
150,481390.61125829903
300,378667.43810835143
450,356127.58393055317
600,287198.00836070196
750,406650.31008776673
900,479746.6118992171
1050,420396.99729206605
1200,385567.6028440856
1350,362263.12188415445
1500,306270.14091384463
1650,403985.3617193293
1800,363778.24766694254
1950,372716.9273378244
2100,345829.6297145717
2250,331733.3777548616
2400,410018.58741082094
2550,388552.65469154535
2700,383479.8833282069
2850,381238.54899049015
3000,373475.9266426503
3150,276708.0322074962
3300,344402.40625803644
3450,921008.1752414476
